,H1-PelletTriflic-Fl-R1,H1-PelletTriflic-Fl-R2,H1-PelletTriflic-Fl-R3,H1-SonicSupTriflic-V2-R1,H1-SonicSupTriflic-V2-R2,H1-SonicSupTriflic-V2-R3,H1-wholetriflic-R1,H1-wholetriflic-R2,H1-wholetriflic-R3
cellular_component,310.1666666666667,356.8333333333333,303.0,257.0,244.0,213.0,329.5,323.0,287.1666666666667
cell,7014.999999999996,6850.5,6812.499999999999,2305.833333333333,2241.6666666666674,2263.833333333333,6044.500000000001,5795.499999999998,5589.999999999995
cytoplasm,6662.33333333333,6718.166666666662,7007.666666666666,2053.833333333334,2216.333333333335,1872.666666666666,6622.333333333334,6347.666666666667,5705.999999999995
membrane,2058.0,2094.0,2037.1666666666667,2001.0,1895.4999999999998,1958.5,1819.1666666666667,1793.3333333333335,1655.6666666666665
organelle,3122.5000000000023,3099.0000000000014,3214.166666666665,1225.0,1246.166666666667,1268.6666666666665,2838.000000000001,2853.4999999999986,2563.1666666666683
cell periphery,686.0,703.5,720.5,1008.3333333333333,994.3333333333333,1018.3333333333333,527.5,487.0,424.0
unknown,20706.0,20402.0,20361.0,31245.0,30214.0,29439.0,17889.0,16463.0,14565.0
mem_cp,5866.500000000002,5896.500000000002,5971.833333333332,4234.333333333333,4136.0,4245.5,5184.666666666668,5133.833333333332,4642.833333333335
non_mem,13987.499999999993,13925.499999999996,14123.166666666664,4616.666666666667,4702.000000000002,4349.499999999999,12996.333333333336,12466.166666666664,11583.166666666657
ratio,-1.219147294285989,-1.2124334774366279,-1.2134170566288383,-0.7373045496135262,-0.7593314695024205,-0.7053210403775321,-1.2546715411324936,-1.2320462834385548,-1.2512900819107706
cytoplasm_ratio,-1.0919357246232355,-1.0819771321312306,-1.0534662400862853,-1.4608224812588082,-1.3832064279563392,-1.5238171988208702,-1.009929317619319,-1.0198116107355357,-1.0450966411815656
