,H1-PelletTriflic-Fl-R1,H1-PelletTriflic-Fl-R2,H1-PelletTriflic-Fl-R3,H1-SonicSupTriflic-V2-R1,H1-SonicSupTriflic-V2-R2,H1-SonicSupTriflic-V2-R3,H1-wholetriflic-R1,H1-wholetriflic-R2,H1-wholetriflic-R3
202956,9,7,6,9,10,11,13,10,11
209005,32,33,34,15,15,19,25,31,34
212914,0,0,3,0,0,0,0,0,0
217964,2,2,3,0,0,0,6,5,6
248190,3,1,3,0,0,0,3,5,5
251275,8,3,2,0,0,0,3,3,6
254088,0,0,0,0,0,0,0,2,0
265827,5,8,10,0,0,0,1,0,0
268176,10,8,12,0,0,0,0,0,0
297515,4,8,6,0,0,0,5,7,0
301710,8,3,2,0,0,0,3,3,6
302579,6,6,5,0,0,0,4,3,4
318873,4,3,8,0,6,1,3,4,2
357099,2,3,0,0,0,0,0,0,0
372822,9,5,7,0,0,0,0,4,4
374028,36,37,36,0,0,0,29,16,4
375344,8,5,5,0,0,0,2,3,2
382738,9,5,7,0,0,0,0,0,3
395065,7,6,8,0,0,0,0,0,0
396061,0,0,2,0,0,0,0,0,0
397898,4,3,4,0,0,0,0,0,0
407882,30,35,35,8,4,2,27,27,24
411676,19,15,17,5,4,6,12,12,9
443480,5,3,2,0,0,0,1,1,2
464490,0,0,0,0,0,0,4,0,0
495387,0,0,3,0,0,0,0,0,0
566971,6,4,6,0,0,0,0,0,1
638735,0,0,3,0,0,0,0,0,0
640706,29,31,33,0,0,0,0,4,4
642086,22,23,23,0,0,0,3,3,3
645785,8,10,8,0,0,0,9,11,8
651398,26,23,29,0,0,0,4,0,0
655453,5,6,6,0,0,0,0,1,2
670786,6,5,6,0,0,0,2,2,2
679801,0,7,6,0,0,0,0,0,0
682306,0,3,0,0,0,0,0,0,0
696041,4,0,0,0,0,0,0,0,0
721772,3,0,0,0,0,0,0,0,0
723996,3,1,3,0,0,0,3,5,5
730062,0,0,3,0,0,0,0,0,0
733216,21,17,19,0,0,0,0,7,6
734086,10,11,11,3,4,2,10,10,11
741489,0,0,3,0,0,0,0,0,0
757818,23,18,18,8,6,7,14,14,10
788289,0,0,3,0,0,0,0,0,0
796789,5,3,5,5,4,6,1,1,3
808634,1,2,2,0,0,0,0,0,0
808649,0,2,0,0,0,0,0,0,0
811098,23,18,24,0,0,0,39,19,11
813416,11,6,7,0,0,0,3,8,8
871564,4,5,5,0,0,0,0,0,0
881383,0,0,3,0,0,0,0,0,0
900503,15,16,15,0,0,0,15,16,18
944577,13,16,15,0,0,0,16,11,12
947105,0,0,3,0,0,0,0,0,0
948149,14,12,12,0,0,0,11,11,7
961705,3,3,2,0,0,0,0,0,0
962785,0,2,0,0,0,0,0,0,0
963113,4,0,5,0,0,0,0,0,0
965206,7,3,5,0,0,0,2,6,4
969630,10,12,15,0,0,0,2,2,3
996140,6,10,11,0,0,0,12,9,11
998638,13,18,19,0,0,0,3,3,0
1023145,10,7,11,4,2,4,8,11,14
1023303,10,5,12,0,0,0,7,10,10
1027404,10,9,11,0,0,0,2,2,3
1052978,0,3,0,0,0,0,0,0,0
1053863,25,38,26,0,0,0,7,5,8
1081448,2,2,1,0,0,0,0,0,0
1085570,0,0,2,0,0,0,0,0,0
1090569,0,0,2,0,0,0,0,0,0
1102881,2,0,0,0,0,0,0,0,0
1104647,0,0,3,0,0,0,0,0,0
1109184,0,0,3,0,0,0,0,0,0
1110855,20,14,17,6,5,6,14,14,9
1114056,6,4,7,0,0,0,0,0,0
1138936,2,0,0,0,0,0,0,0,0
1139155,0,5,4,0,0,0,0,0,0
1158404,10,7,11,4,2,4,8,11,14
1183856,18,19,14,0,0,0,11,7,3
1207420,5,3,2,0,0,0,1,1,2
1279038,8,3,4,0,0,0,5,4,8
1299426,0,0,3,0,0,0,0,0,0
1367762,0,0,0,2,0,0,0,0,0
1385693,6,6,4,0,0,0,10,11,10
1399031,0,0,0,0,0,0,3,0,0
1408901,22,22,25,0,0,0,16,17,15
1438473,17,17,19,0,0,0,11,15,13
1485668,0,0,2,0,0,0,2,4,4
1654966,6,6,5,2,3,2,8,7,6
1739951,2,2,3,0,0,0,6,5,6
1801653,5,8,7,0,0,0,0,0,4
1803867,7,5,6,0,0,0,5,5,7
1804563,5,6,8,0,0,0,8,5,9
1809260,18,20,24,7,9,9,8,11,4
1809293,2,3,2,0,0,0,0,2,1
1813814,4,4,2,0,0,0,1,2,1
1818671,8,7,8,4,2,4,5,6,10
1822783,21,23,21,11,13,15,17,20,19
1886631,0,2,3,3,4,6,1,0,1
1958375,23,21,20,11,11,14,17,20,23
1967039,10,11,9,12,11,10,15,12,11
1981739,5,3,2,0,0,0,1,1,2
1994037,20,16,20,0,0,0,11,9,11
1996391,0,0,0,0,0,0,0,2,0
2006234,0,0,0,0,0,0,0,2,0
2008440,62,65,66,2,0,4,58,36,48
2010342,11,9,9,0,0,0,3,3,0
2011669,0,5,4,0,0,0,0,0,0
2011772,4,3,5,0,0,0,4,4,4
2014096,0,0,0,2,0,0,0,0,0
2015460,0,0,0,0,0,0,0,2,0
2021870,5,3,2,0,0,0,1,1,2
2022201,9,9,10,7,9,8,8,7,7
2026093,27,26,31,0,0,0,52,33,23
2035626,2,2,3,0,0,0,6,5,6
2041002,19,19,18,11,11,14,15,17,17
2049089,5,3,2,0,0,0,1,1,2
2051646,2,2,3,0,0,0,6,5,6
2054795,6,0,3,0,0,0,0,2,3
2057470,29,30,29,15,15,19,22,26,29
2058497,21,23,21,11,13,15,17,20,19
2064818,0,3,2,0,0,0,2,2,3
2065024,0,0,0,0,0,0,0,0,3
2065926,4,1,0,0,0,0,2,2,4
2066706,4,5,5,1,2,1,4,4,4
2067347,4,1,0,0,0,0,2,2,4
2069242,2,4,3,0,0,0,4,7,6
2072751,2,2,3,0,0,0,6,5,6
2073620,10,12,9,2,3,1,6,8,4
2074337,4,5,3,0,0,0,4,5,0
2090955,6,2,2,0,0,1,1,0,1
2095099,3,0,0,0,0,0,0,0,0
2097675,42,41,46,0,0,0,39,31,30
2117878,7,2,2,0,0,0,3,3,6
2118852,31,28,35,0,0,0,53,35,25
2123537,14,15,13,3,4,2,12,12,11
2148419,4,5,3,0,0,0,4,5,0
2157911,10,10,8,2,2,1,8,8,7
2159483,8,8,8,7,8,5,8,7,7
2160032,3,3,2,3,7,4,2,2,3
2163077,4,5,3,0,0,0,4,5,0
2166287,3,6,7,0,0,0,7,4,5
2171123,13,16,15,0,0,0,16,11,12
2172870,4,1,0,0,0,0,2,2,4
2181839,7,8,8,0,0,0,11,7,11
2199525,28,27,28,0,0,0,31,26,23
2205189,7,9,8,0,0,0,8,4,8
2245823,4,1,0,0,0,0,2,2,4
2246883,11,12,12,0,0,0,15,13,14
2271718,8,8,9,0,0,0,8,5,11
2288535,10,10,10,3,4,2,10,10,11
2320559,8,9,10,7,7,8,10,7,8
2328070,10,12,12,0,0,0,12,10,11
2342451,2,0,2,0,2,1,1,0,2
2343419,4,1,0,0,0,0,2,2,4
2394525,0,0,0,0,0,0,2,0,0
2397005,7,2,2,0,0,0,3,3,6
2399443,9,11,10,14,12,9,10,10,10
2408210,0,0,0,0,0,0,0,0,3
2408501,4,1,0,0,0,0,2,2,4
2412903,5,6,8,7,8,8,3,3,3
2414214,0,0,0,0,0,2,0,0,0
2418315,6,6,5,0,0,0,4,3,4
2424392,2,2,3,0,0,0,6,5,6
2428415,8,3,2,0,0,0,3,3,6
2429252,6,8,6,2,0,0,10,11,10
2433827,5,5,4,0,0,0,8,7,8
2433984,13,14,13,0,0,0,14,15,16
2435176,5,3,2,0,0,0,1,1,2
2455890,9,12,11,0,0,0,12,5,9
2456133,5,3,2,0,0,0,1,1,2
2456528,10,7,11,4,2,4,7,9,14
2464496,2,2,3,0,0,0,6,5,6
2464498,2,2,3,0,0,0,6,5,6
2464669,9,12,11,0,0,0,12,5,9
2466433,0,2,2,0,0,0,3,2,3
2481550,4,4,3,2,3,2,6,4,4
2488406,0,0,0,0,0,2,0,0,0
2489424,8,3,2,0,0,0,3,3,6
2503349,0,0,0,2,0,0,0,0,0
2505626,4,6,7,0,0,0,10,7,8
2513905,31,26,28,0,0,0,17,13,15
2514188,16,18,15,4,5,2,12,14,11
2550329,6,6,5,2,3,2,8,7,6
2717161,6,6,5,2,3,2,8,7,6
2775482,6,6,5,2,3,2,8,7,6
2786018,6,5,5,16,13,13,3,3,4
3336599,0,0,0,0,2,0,0,0,0
3447432,4,4,3,2,3,2,5,4,4
3492858,2,0,0,0,0,0,1,4,0
3497451,4,4,4,0,0,0,6,2,6
3499391,2,2,3,0,0,0,6,5,6
3500631,2,2,3,0,0,0,6,5,6
3525060,13,13,14,7,8,9,40,26,23
3545035,6,6,5,2,3,2,8,7,6
3557213,6,0,0,0,0,0,9,9,9
3557492,78,82,91,46,45,38,101,88,86
3557654,0,0,0,0,5,4,0,0,0
3558222,1,2,1,10,11,14,0,0,0
3576441,0,9,6,0,0,0,0,4,0
3577059,6,6,6,0,0,0,3,7,9
3577105,2,0,0,0,0,0,0,0,0
3585948,7,6,8,0,0,0,5,4,7
3593277,4,4,3,2,0,3,2,0,4
3615355,0,0,0,0,0,0,5,2,3
3615630,0,0,0,0,0,0,0,3,3
3615952,1,2,4,4,1,2,0,5,3
3625404,0,0,0,0,0,6,3,7,0
3647656,12,10,12,0,0,0,10,13,11
3650534,20,23,26,20,23,19,27,26,22
3691661,0,0,0,0,0,0,4,0,0
3693076,0,0,0,0,0,0,4,6,0
3693214,0,3,4,7,8,8,0,2,0
3704668,8,8,10,0,0,0,4,4,4
3713116,1,3,2,2,6,4,2,2,2
3723795,6,6,5,2,3,2,8,7,6
3727075,0,0,1,3,1,2,3,5,2
3727159,11,11,19,0,0,0,14,8,13
3730682,19,21,26,0,0,0,20,25,18
3746914,2,0,0,0,0,0,0,0,0
3768840,0,0,0,0,3,0,0,0,0
3770272,4,0,3,0,0,0,5,0,4
3770401,0,0,0,2,0,0,0,0,0
3771706,0,0,4,0,0,0,0,0,0
3773754,0,0,0,5,4,2,0,0,0
3774409,10,2,2,0,0,0,13,7,16
3774537,2,0,0,3,4,3,6,6,5
3775835,0,2,2,3,2,5,0,0,0
3775978,0,0,0,3,2,1,0,0,0
3776237,2,2,3,0,0,0,6,5,6
3776464,5,7,7,0,0,2,7,5,9
3776479,18,13,13,0,0,0,23,11,17
3776630,0,2,5,0,0,0,0,1,2
3776934,0,0,0,7,5,6,0,0,0
3814117,14,17,12,0,0,0,9,11,8
3966757,12,15,8,19,15,8,15,8,11
3966777,35,33,41,0,0,0,25,34,28
3967585,7,6,7,2,3,2,9,8,8
3972270,151,155,146,27,19,23,132,99,113
4002285,2,2,3,0,0,0,6,5,6
4009240,42,37,41,10,11,11,34,41,27
4010688,3,2,0,0,0,0,0,0,0
4011324,13,17,13,16,18,14,6,0,0
4012862,0,0,0,10,9,7,0,0,0
4013051,10,12,10,203,219,228,10,16,8
4013239,0,0,0,0,0,0,2,3,4
4013360,0,0,0,0,0,0,12,16,18
4013760,0,2,3,0,0,0,0,2,0
4013776,46,38,39,0,0,0,51,49,41
4013778,4,5,4,0,0,0,0,0,0
4013914,2,2,3,0,0,0,6,5,6
4014039,3,5,3,0,0,0,5,4,7
4019084,8,2,12,0,0,0,6,9,9
4024950,2,2,3,0,0,0,6,5,6
4052479,1,2,1,0,0,0,3,3,2
4077657,4,5,3,2,3,2,5,3,4
4081737,8,8,11,0,0,0,4,4,4
4096188,9,8,12,2,3,1,5,7,5
4098765,8,4,10,0,0,0,9,5,10
4098784,6,6,7,14,12,12,6,5,5
4099172,5,3,4,0,0,0,1,2,4
4099366,2,2,3,0,0,0,6,5,6
4100571,25,20,20,5,7,5,17,21,21
4116244,12,11,13,0,0,0,20,21,13
4137138,3,4,2,0,0,0,1,2,1
4172233,4,3,5,0,0,0,4,4,4
4172235,2,3,3,0,0,0,0,3,1
4180972,0,0,0,2,3,0,4,2,2
4182998,1,0,0,1,3,1,0,0,1
4220508,3,3,2,8,9,5,2,2,5
4224618,7,8,5,12,14,12,9,7,7
4228803,4,4,3,2,3,3,5,3,4
4239257,6,3,5,0,0,0,4,5,6
4239579,11,14,13,0,0,0,14,18,19
4239580,14,13,9,0,0,0,8,11,10
4239594,8,5,7,0,0,0,13,13,8
4239607,0,0,0,0,0,0,6,7,5
4244190,0,3,0,0,0,0,0,2,0
4258279,0,1,2,0,0,0,0,2,0
4258282,10,12,14,0,0,0,7,13,10
4328229,0,0,0,0,0,0,0,0,2
4343484,24,26,24,0,2,0,19,23,19
4343870,2,2,3,0,0,0,6,5,6
4344665,119,112,114,21,24,20,117,117,107
4423617,2,3,2,0,0,0,1,2,2
4427266,0,0,0,0,0,0,0,0,4
4494265,25,27,29,0,0,0,29,19,25
4501318,3,5,2,0,0,0,0,0,0
4501661,11,9,12,0,0,0,15,16,10
4510354,16,12,15,5,10,7,9,7,9
4541189,1,4,5,0,0,0,0,0,0
4579963,4,6,5,0,0,0,6,5,5
4593789,9,11,8,6,6,7,6,5,6
4596523,3,4,6,1,2,1,3,3,6
4603422,0,0,0,0,0,0,3,4,2
4626969,11,17,21,0,0,0,6,12,11
4627187,4,4,4,0,0,0,6,2,6
4627267,19,22,23,0,0,0,30,25,16
4663007,2,1,2,3,1,1,0,1,3
4679095,3,5,3,0,0,0,4,0,3
4706576,14,12,10,42,41,35,13,8,10
4745251,6,3,5,0,0,0,0,2,3
4754130,0,0,0,0,0,0,0,4,0
4754940,5,7,0,0,0,0,7,6,11
4758108,5,5,9,0,0,0,7,11,5
4761588,29,27,23,0,0,0,12,18,12
4774708,6,6,7,0,0,0,5,3,2
4775171,1,0,0,0,0,0,0,6,2
4776583,11,8,9,6,4,6,6,7,7
4776674,10,12,10,0,0,0,15,12,11
4776741,2,2,1,0,0,0,1,3,3
4778236,1,2,2,0,0,0,2,2,0
4785391,3,2,3,0,0,0,0,0,0
4788039,0,1,2,0,0,0,0,2,0
4791570,11,14,17,0,0,0,9,17,11
4791572,3,2,3,0,0,0,0,0,0
4791940,8,7,7,0,0,0,2,1,0
4792456,0,0,2,3,5,4,1,2,2
4793078,1,0,0,0,0,0,0,6,2
4816499,98,93,105,8,9,10,98,75,92
4837847,10,12,10,0,0,0,9,6,0
4902052,9,9,8,4,6,7,11,10,10
4903439,9,9,10,7,9,8,8,7,7
4938789,9,11,8,13,12,13,0,0,4
4939223,44,42,42,80,76,81,164,148,127
4939224,10,10,13,13,12,9,6,3,3
5001643,3,2,2,0,0,0,1,1,0
5017696,0,2,0,4,5,6,0,0,0
5018106,16,7,10,2,3,2,15,16,12
5053713,5,4,5,2,3,2,6,4,6
5053794,0,8,5,6,3,0,0,5,5
5062281,0,0,0,0,0,0,18,17,16
5086275,11,17,20,20,17,18,18,11,14
5090162,3,4,2,0,0,0,1,2,1
5094399,0,0,0,0,0,0,6,3,0
5095253,2,2,3,0,0,0,6,5,6
5103840,0,0,0,0,0,0,0,0,3
5104356,2,2,3,0,0,0,6,5,6
5105172,3,5,4,0,0,0,0,0,0
5107172,3,0,0,0,0,0,0,3,0
5107176,37,46,36,6,4,7,31,28,22
5107185,17,20,13,0,0,0,0,9,0
5107188,0,0,0,0,0,0,0,0,2
5107198,10,12,8,0,0,0,7,5,7
5107877,4,4,0,0,0,0,0,0,0
5108181,11,8,9,0,0,0,11,10,2
5108275,2,5,0,0,0,0,0,0,0
5108758,0,0,0,5,5,4,0,0,0
5194213,0,0,0,0,0,0,6,3,0
5200631,24,29,29,2,0,2,13,14,16
5201341,0,0,0,0,5,4,0,0,0
5201609,28,28,23,24,23,21,19,17,15
5201836,5,7,6,10,10,9,3,4,4
5227972,0,0,2,0,0,0,0,0,0
5245426,4,4,3,4,1,4,2,0,4
5248047,6,6,5,2,3,2,8,7,6
5268480,4,4,3,4,1,4,2,0,5
5306619,5,2,4,0,0,0,2,5,9
5307609,9,6,0,0,0,0,0,0,0
5324058,0,0,1,3,1,2,3,5,2
5325890,5,6,3,12,11,9,9,7,8
5367232,21,20,18,19,21,17,25,24,25
5377188,0,3,5,0,0,5,0,0,0
5495963,6,5,6,1,1,0,2,4,4
5531737,7,9,8,7,6,5,8,7,7
5535467,8,8,11,0,0,0,4,4,4
5536222,4,4,3,4,1,4,2,0,4
5543767,0,0,0,0,2,0,0,2,0
5561115,2,3,3,0,0,0,0,3,1
5592609,9,11,8,6,6,7,6,5,6
5616151,2,2,3,0,0,0,6,5,6
5617344,1,4,5,0,0,0,0,0,0
5617510,0,3,5,0,0,5,0,0,0
5662012,3,3,3,0,0,0,1,2,2
5670836,2,2,3,0,0,0,6,5,6
5673728,4,2,2,0,2,0,2,4,4
5681276,10,10,11,0,0,0,5,4,4
5682229,3,2,3,0,0,0,0,0,0
5710574,5,10,8,6,4,3,4,6,7
5710678,1,2,1,0,0,0,3,4,1
5711881,10,12,12,7,7,10,1,2,2
