"","H1_PelletTriflic_Fl_R1","H1_PelletTriflic_Fl_R2","H1_PelletTriflic_Fl_R3","H1_SonicSupTriflic_V2_R1","H1_SonicSupTriflic_V2_R2","H1_SonicSupTriflic_V2_R3","H1_wholetriflic_R1","H1_wholetriflic_R2","H1_wholetriflic_R3"
"202956",4.09447186008856,3.99491623669583,3.9329686128116,4.04331604612782,4.10032024721548,4.15483771134544,4.30177351937556,4.15814002369993,4.25893404700054
"209005",4.98005207146899,5.01729491089468,5.02707457263028,4.29086871125553,4.30782475738094,4.47653729617586,4.78500539829337,4.98135577142973,5.18321630249162
"217964",3.65525897135169,3.65621456214349,3.73369731670766,3.53636716115595,3.53636716115595,3.53636716115595,3.95174980122194,3.88893982300725,3.98466726063463
"248190",3.73713882203652,3.58595447815359,3.73369731670766,3.53636716115595,3.53636716115595,3.53636716115595,3.74722024957899,3.88893982300725,3.92111803983263
"251275",4.04466311875441,3.73864299363903,3.6530894836839,3.53636716115595,3.53636716115595,3.53636716115595,3.74722024957899,3.7453039044158,3.98466726063463
"265827",3.87859529103142,4.047165701541,4.13577200935745,3.53636716115595,3.53636716115595,3.53636716115595,3.58816871557918,3.53636716115595,3.53636716115595
"268176",4.14239812400317,4.047165701541,4.22646439841367,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595
"297515",3.81275054827961,4.047165701541,3.9329686128116,3.53636716115595,3.53636716115595,3.53636716115595,3.89136152227787,4.00508895118836,3.53636716115595
"301710",4.04466311875441,3.73864299363903,3.6530894836839,3.53636716115595,3.53636716115595,3.53636716115595,3.74722024957899,3.7453039044158,3.98466726063463
"302579",3.9377535473782,3.93984296783162,3.87421786996274,3.53636716115595,3.53636716115595,3.53636716115595,3.82424572839498,3.7453039044158,3.85107171920376
"318873",3.81275054827961,3.73864299363903,4.03893772300543,3.53636716115595,3.90720861963273,3.58142604667785,3.74722024957899,3.82206430322607,3.67784820253892
"372822",4.09447186008856,3.88050486160421,3.98736623506575,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.82206430322607,3.85107171920376
"374028",5.10143126363762,5.13735724679002,5.08646912170366,3.53636716115595,3.53636716115595,3.53636716115595,4.92324399424763,4.42812736850571,3.85107171920376
"375344",4.04466311875441,3.88050486160421,3.87421786996274,3.53636716115595,3.53636716115595,3.53636716115595,3.66175413389045,3.7453039044158,3.67784820253892
"382738",4.09447186008856,3.88050486160421,3.98736623506575,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.77080736925675
"395065",3.99262013277396,3.93984296783162,4.03893772300543,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595,3.53636716115595
