,cell,cell periphery,cellular_component,cytoplasm,membrane,organelle,unknown
BS sonic 2,3055.747549672548,739.4785797535806,648.5212842712839,10917.373629148633,1408.421922521919,420.45703463203483,9499.0
BS sonic 3,3265.4556804306785,620.3135919635915,524.6394716394717,9333.060148185144,1189.8003912753863,374.7307165057167,8636.0
BS sonic 4,2740.8604090354074,655.9898323898329,676.496631146631,10179.250982350948,1282.0380813630798,361.36406371406383,9077.0
BS triflic 1,1839.3297646797646,593.5860500610514,391.6794816294818,9014.220290820283,989.3508019758035,613.8336108336106,6424.0
BS triflic 2,3136.3005550005564,880.1346764346775,704.8822954822947,15838.645543345527,1560.63008658008,709.406843156843,8810.0
BS triflic 3,4036.6219419469426,1119.6797508047496,847.6389943389946,18211.11395548893,1799.2864191364174,1200.658938283938,10981.0
Jurkat sonic 1,4774.60989812062,1024.083085076872,1066.811191154826,5028.782847238673,1585.425936781984,6866.859660675147,18792.4273809525
Jurkat sonic 7,4159.516937978808,1290.7056479696607,2888.49693939993,6437.163632350221,1891.4786544661602,6964.430864602792,19077.20732323235
Jurkat sonic 8,5257.433035410327,903.5380901912529,1276.906875864349,4838.873686688623,1393.8049749567906,7718.709459654406,17101.733877233877
Jurkat triflic 1,1156.251284219942,186.88567473644574,192.47222709122255,1301.9169829696853,307.20044422261634,1616.7089959575515,3935.5643908024335
Jurkat triflic 2,1201.7024205547796,195.88784797249002,241.7444540998493,1239.0632904751844,329.3250740795366,1711.4011191672396,4561.8757936507955
Jurkat triflic test,1939.6962442140612,288.6273601327434,524.2307629771932,2027.2334003868534,483.73881890404135,2808.509875753092,6564.963537631972
PA sonic 1,5339.837974525474,507.74021256521235,693.5999999999993,12623.467399267374,1106.186587024087,1433.167826617828,10471.0
PA sonic 3,4640.702003552002,406.93166833166833,506.8000000000002,10734.608791208784,869.5169691419691,1234.4405677655668,10297.0
PA sonic 4,2586.9250333000355,291.47818015318023,516.2414529914537,7807.838858363872,557.2271894771901,915.2892857142855,5966.0
PA triflic 3,2379.6241702741704,1145.96446886447,305.9888888888888,8865.994658119631,3258.3504329004295,984.0773809523807,6802.0
PA triflic 4,2447.6733738483736,985.9280178155178,453.54145299145273,8509.850763125747,2743.786947774445,893.219444444445,8657.0
PA triflic 5,2340.7166583416583,1032.1886072261066,424.2555555555555,9240.79398656897,3024.7635989010996,1009.2815934065939,7062.0
