,cell,files,membrane,method,non-membrane,ratio
1,BS,data/BS/Sonic/BS sonic 2.txt,2147.9005022754995,sonic,15042.099497724499,-1.9463620485699469
11,BS,data/BS/Sonic/BS sonic 4.txt,1938.0279137529128,sonic,13957.97208624705,-1.974379904007824
16,BS,data/BS/Sonic/BS sonic 3.txt,1810.1139832389779,sonic,13497.886016761011,-2.0091432643715157
4,BS,data/BS/Triflic/BS triflic 3.txt,2918.966169941167,tri,24296.033830058805,-2.119083617955984
6,BS,data/BS/Triflic/BS triflic 2.txt,2440.7647630147576,tri,20389.235236985216,-2.122695659452171
7,BS,data/BS/Triflic/BS triflic 1.txt,1582.9368520368548,tri,11859.06314796314,-2.0138105090853613
0,Jurkat,data/Jurkat/Sonic/Jurkat sonic 8.txt,2297.3430651480435,sonic,19091.923057617707,-2.1175121029267077
14,Jurkat,data/Jurkat/Sonic/Jurkat sonic 7.txt,3182.184302435821,sonic,20449.60837433175,-1.8603958833547811
15,Jurkat,data/Jurkat/Sonic/Jurkat sonic 1.txt,2609.509021858856,sonic,17737.063597189266,-1.9164943493747324
5,Jurkat,data/Jurkat/Triflic/Jurkat triflic 1.txt,494.0861189590621,tri,4267.349490238401,-2.1560383533388263
9,Jurkat,data/Jurkat/Triflic/Jurkat triflic test.txt,772.3661790367847,tri,7299.6702833312,-2.2461256967041483
17,Jurkat,data/Jurkat/Triflic/Jurkat triflic 2.txt,525.2129220520267,tri,4393.9112842970535,-2.1241713163634675
8,PA,data/PA/Sonic/PA sonic 1.txt,1613.9267995892992,sonic,20090.073200410676,-2.521555607039483
10,PA,data/PA/Sonic/PA sonic 4.txt,848.7053696303703,sonic,11826.294630369646,-2.63436859600682
12,PA,data/PA/Sonic/PA sonic 3.txt,1276.4486374736375,sonic,17116.551362526352,-2.595964191424132
2,PA,data/PA/Triflic/PA triflic 3.txt,4404.314901764899,tri,12535.68509823507,-1.045994665058179
3,PA,data/PA/Triflic/PA triflic 5.txt,4056.9522061272064,tri,13015.047793872778,-1.1656742070941728
13,PA,data/PA/Triflic/PA triflic 4.txt,3729.7149655899625,tri,12304.285034410017,-1.1936157644866698
