,cell,files,membrane,method,non-membrane,pellet,ratio
10,BS,data/BS/Sonic/BS sonic 1.txt,2985.767465867464,sonic,16658.232534132516,False,-1.7190477194311231
15,BS,data/BS/Sonic/BS sonic 3.txt,2721.505666555666,sonic,15688.494333444334,False,-1.7517423176543179
16,BS,data/BS/Sonic/BS sonic 2.txt,2624.9888278388235,sonic,15031.011172161143,False,-1.7450388384523254
3,BS,data/BS/Pellet/BS pellet 2.txt,5116.176706626702,tri,42418.8232933733,True,-2.1151847862041424
5,BS,data/BS/Pellet/BS pellet 1.txt,5722.964072039074,tri,51368.035927961115,True,-2.194529244326739
6,BS,data/BS/Pellet/BS pellet 3.txt,4264.00306637806,tri,29390.99693362197,True,-1.930479994704999
7,BS,data/BS/Triflic/BS triflic 2.txt,3600.798948273941,tri,22052.20105172607,False,-1.8122566669357119
9,BS,data/BS/Triflic/BS triflic 1.txt,2731.5369075369063,tri,13811.463092463091,False,-1.620634485648582
20,BS,data/BS/Triflic/BS triflic 3.txt,5098.26343378843,tri,28442.736566211606,False,-1.7189928441794207
4,Jurkat,data/Jurkat/Sonic/Jurkat sonic 2.txt,11159.490805029223,sonic,14893.223372459734,False,-0.2886159731550387
18,Jurkat,data/Jurkat/Sonic/Jurkat sonic 3.txt,12228.055444470261,sonic,13964.665930396157,False,-0.13279733895104115
19,Jurkat,data/Jurkat/Sonic/Jurkat sonic 1.txt,10993.339891747475,sonic,12759.949393967108,False,-0.14902168687454379
14,Jurkat,data/Jurkat/Triflic/Jurkat triflic 1.txt,3588.67099210813,tri,4476.953376071193,False,-0.2211608283279784
17,Jurkat,data/Jurkat/Triflic/Jurkat triflic 3.txt,5733.5582978902385,tri,7156.485038838278,False,-0.22168261168467737
21,Jurkat,data/Jurkat/Triflic/Jurkat triflic 2.txt,3892.9993663658724,tri,4708.882459658388,False,-0.19027070429794155
1,PA,data/PA/Sonic/PA sonic 2.txt,3017.575749250749,sonic,19129.424250749238,False,-1.8467739093429536
22,PA,data/PA/Sonic/PA sonic 1.txt,3993.6587357087355,sonic,24501.34126429131,False,-1.8140200744295985
23,PA,data/PA/Sonic/PA sonic 3.txt,2076.735456210457,sonic,12997.26454378952,False,-1.833941747048115
0,PA,data/PA/Triflic/PA triflic 1.txt,6346.363063325554,tri,14437.636936674431,False,-0.821956570138324
2,PA,data/PA/Triflic/PA triflic 3.txt,6385.186555111556,tri,15483.813444888438,False,-0.8858144776193938
8,PA,data/PA/Pellet/PA pellet 1.txt,14665.309231046707,tri,12381.690768953256,True,0.16926595799366925
11,PA,data/PA/Pellet/PA pellet 2.txt,11866.468505106011,tri,9808.531494893996,True,0.19046408238071647
12,PA,data/PA/Triflic/PA triflic 2.txt,6029.062968975465,tri,15175.937031024536,False,-0.9231194795759533
13,PA,data/PA/Pellet/PA pellet 3.txt,11173.426305638804,tri,10103.573694361192,True,0.1006491154329343
