,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,name
P80239,747.5681186545779,-4.36660699562498,0.299564916270645,-14.576496640480899,3.9634038874674e-48,4.38352469953894e-45,Alkyl hydroperoxide reductase subunit C OS=Bacillus subtilis (strain 168) GN=ahpC PE=1 SV=2 
P54375,329.408983375604,5.71213975332083,0.437433484251255,13.0583047685483,5.698257352993711e-39,3.1511363162055187e-36,Superoxide dismutase [Mn] OS=Bacillus subtilis (strain 168) GN=sodA PE=1 SV=5 
P0CI73,174.45328358779702,5.83823842349224,0.457360086366905,12.765080726368101,2.5688419840166195e-37,9.47046411440792e-35,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Bacillus subtilis (strain 168) GN=glmS PE=2 SV=1 
P26901,280.451418018844,-3.30488428470769,0.27003051790940097,-12.2389288081006,1.9255715475346199e-34,5.32420532893321e-32,Vegetative catalase OS=Bacillus subtilis (strain 168) GN=katA PE=1 SV=5 
P94391,180.938691085826,-4.24300158291019,0.356872768940424,-11.889395751622901,1.34375208910432e-32,2.97237962109875e-30,1-pyrroline-5-carboxylate dehydrogenase 2 OS=Bacillus subtilis (strain 168) GN=putC PE=2 SV=2 
O31629,142.024175207752,-4.25085889205982,0.389034524786934,-10.9266880475144,8.59275984574005e-28,1.58393206489808e-25,Putative phosphoesterase YjcG OS=Bacillus subtilis (strain 168) GN=yjcG PE=1 SV=1 
P71011,137.71276087401898,3.3925034200867903,0.326621061061325,10.386664623105402,2.85150949408418e-25,4.5053850006529996e-23,Antilisterial bacteriocin subtilosin biosynthesis protein AlbA OS=Bacillus subtilis (strain 168) GN=albA PE=1 SV=1 
P36945,74.15080090006009,-4.52487688059153,0.520044979092767,-8.700933693245739,3.29164562758371e-18,4.550700080134481e-16,Ribokinase OS=Bacillus subtilis (strain 168) GN=rbsK PE=3 SV=2 
P40332,68.1691669253095,-4.822503798605839,0.573165869434572,-8.41380140684795,3.96932523355494e-17,4.8778596759019615e-15,scyllo-inositol 2-dehydrogenase (NAD(+)) OS=Bacillus subtilis (strain 168) GN=iolX PE=1 SV=2 
O34926,117.392264081641,10.2376217563725,1.2211378582289598,8.38367403596864,5.13007340875942e-17,5.67386119008792e-15,Pulcherriminic acid synthase OS=Bacillus subtilis (strain 168) GN=cypX PE=1 SV=1 
