"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"P0CI73",1016.87613677341,8.2873345414237,0.516542031102375,16.043872603624,6.30942839307378e-58,7.1485823693526e-55
"P80239",784.881376639253,-5.57169147694691,0.482696356740853,-11.5428496592905,8.02227227266938e-31,4.5446172424672e-28
"P26901",286.77461107914,-4.57748546155443,0.409343460378806,-11.1825054132254,4.96676711551888e-29,1.87578238062763e-26
"P94391",188.817017298484,-5.56168241546125,0.512841283372512,-10.8448414661294,2.11001354600617e-27,5.97661336906248e-25
"P37877",643.549192550187,5.01431703551842,0.483497897706214,10.3709179694619,3.36278662849584e-25,7.62007450017157e-23
"P21472",197.543419986035,6.41537976301551,0.680651718111097,9.42534866556875,4.28678940866987e-21,8.09488733337161e-19
"O31629",147.112038414595,-7.97493552898356,0.870759837514563,-9.15859366199832,5.25780246397599e-20,8.51012884526399e-18
"P54484",336.975078306306,11.6439154923145,1.3360739798049,8.71502302141596,2.90699584222287e-18,4.11703286154814e-16
"P40924",622.559614829059,3.95416013417561,0.458364038480028,8.62668054694676,6.3158265255627e-18,7.9509238371806e-16
"P54531",92.7463707858048,-6.70946388805525,0.781096376548205,-8.58980285852238,8.71186747743943e-18,9.87054585193887e-16
"P70965",214.337415608142,10.9909517805537,1.28283269434962,8.56772034963292,1.05553751259585e-17,1.08720363797373e-15
"P45745",169.833779505907,10.6552663058416,1.26569993778244,8.4184773877054,3.81408766890714e-17,3.60113444072649e-15
"P54375",219.611925524578,4.98777522694613,0.636873150811289,7.83166195747518,4.81462615147853e-15,4.19613186894244e-13
"P45694",155.526405830709,-3.19598560970932,0.409539537117037,-7.80385120373856,6.00459854443096e-15,4.85943582202877e-13
"P39751",70.6565097640614,5.32743835281927,0.684586543006295,7.78197936731906,7.13985148407222e-15,5.39296782096922e-13
"P18157",89.8044125743642,4.35221499891965,0.560619408026665,7.76322570465246,8.2796075171655e-15,5.86299707309282e-13
"P36945",79.003277029392,-5.56918670576482,0.726298763980868,-7.66790056923671,1.74834329669142e-14,1.16521938538317e-12
"P21465",135.413720714609,5.09514380051018,0.667009026915262,7.63879287222522,2.19267712957878e-14,1.38016843767376e-12
"P33166",6794.63015893495,2.93634066860016,0.388005223039349,7.56778644781896,3.79637391954066e-14,2.26383771096819e-12
"P54542",59.3982778210757,-6.66053089748278,0.882513906932306,-7.54722485975928,4.44630549108741e-14,2.51883206070102e-12
"P26907",63.5522368032176,-9.62836390544513,1.27974886762921,-7.52363541706595,5.3273767742753e-14,2.87424661202567e-12
"O34926",81.2160436263309,9.59125125093,1.28831217382006,7.44481923390534,9.70772521793783e-14,4.99947848723798e-12
"Q07833",74.0246740631735,9.45718044436499,1.27348270999305,7.42623387828844,1.11733361964873e-13,5.50408256983482e-12
"P40332",71.3823959262052,-6.92514564451574,0.948785067784021,-7.29896146098724,2.89997361919313e-13,1.36902921272742e-11
"O31646",67.0156357525893,4.29881774239797,0.593072369789619,7.24838647250232,4.21765729867025e-13,1.83792527668977e-11
"P54420",96.4017770917061,3.79479276229734,0.523391872292977,7.25038534830962,4.15587540579116e-13,1.83792527668977e-11
"P94550",48.6164422198865,-9.24193836518995,1.29675612770037,-7.12696718200926,1.02604543399148e-12,4.30559065449017e-11
"P51777",339.45860678947,-3.64294826162132,0.520555704561859,-6.99819102873442,2.59288409481123e-12,1.04919202836469e-10
"P42435",62.8464809636248,9.22118493655678,1.33070676442355,6.92953938695225,4.22213065780248e-12,1.64954277078973e-10
"P94551",70.1677984703719,-3.77657191323996,0.551554626016987,-6.84714031049329,7.53408165703494e-12,2.84537150580686e-10
"P94428",39.6156845020086,-8.94666538991698,1.31012334807893,-6.82887256611043,8.558455480088e-12,3.12797743836765e-10
"Q9KWU4",106.898959625028,-3.75887768018984,0.560454437167071,-6.7068390058429,1.98885475854079e-11,7.0417888794585e-10
"O32028",161.453594028208,4.44624213158142,0.663796070481037,6.69820495978432,2.10995199924613e-11,7.24416853074505e-10
"O31777",88.908554547506,-3.71764125531769,0.560958473928305,-6.62730206976574,3.41877583016578e-11,1.1392567692876e-09
"O32177",37.3592978117563,-8.86196636279427,1.34443762450007,-6.59157866553279,4.35174135873238e-11,1.36958971095661e-09
"O32178",33.2010342707482,-8.69165657227829,1.31810859810952,-6.59403677720043,4.28025604856777e-11,1.36958971095661e-09
"P42921",105.417397263796,7.53133196312922,1.14521840786283,6.57632807106545,4.82207980329802e-11,1.47659903165856e-09
"P12874",56.3068980654259,9.06320902524773,1.38500430561747,6.54381288815354,5.99698221582102e-11,1.78804759224348e-09
"P25503",31.9899449178228,-8.63824379782525,1.32273109608343,-6.53061217310368,6.55014086164498e-11,1.90289989647276e-09
"P71011",130.932706326832,3.18328891648763,0.489083861008328,6.5086770802961,7.58155011085838e-11,2.14747406890064e-09
"P30950",129.257071140564,-2.66966282091389,0.411856523506131,-6.48202145297367,9.05017675520037e-11,2.50093908869318e-09
"P54716",50.4252773572551,-7.43938884368367,1.15457772579997,-6.44338503804857,1.16837778598784e-10,3.15183817029577e-09
"P40871",66.0036468035114,5.39843433444406,0.840391247604373,6.42371556085678,1.32987597274265e-10,3.50406855143586e-09
"P14577",36.2000459465829,8.42570429530109,1.32051900386307,6.38060055981959,1.76394851043317e-10,4.54086255008448e-09
"P51785",28.6590566600913,-8.4792891108545,1.32962520633396,-6.37720244055359,1.8035199890009e-10,4.54086255008448e-09
"O34714",75.5734644949802,3.11507198934037,0.488744497688576,6.37362058104492,1.84616997246064e-10,4.54719691043023e-09
"P42974",124.525076335428,-3.62505275681296,0.574938017677695,-6.30511923955799,2.8797210950868e-10,6.94196595900712e-09
"P24141",107.745664640522,-3.55695557056025,0.565591086481066,-6.28891730364871,3.19687700444552e-10,7.54596176257661e-09
"P09124",1266.1844952796,2.76877233235755,0.441362274466861,6.27324194325866,3.53606777023029e-10,8.17625466055288e-09
"O32176",43.7867943069454,-7.22348769220172,1.15625891407529,-6.24729254345137,4.17628423242569e-10,9.46346007067661e-09
"O34351",45.9731612572132,8.7695389176768,1.40612414531084,6.23667472528763,4.46970029129044e-10,9.78186542634029e-09
"P37960",26.1626771288496,-8.3478568175155,1.33865911839776,-6.2359839803781,4.48947045163014e-10,9.78186542634029e-09
"P39062",35.9286001663546,-4.17137541548017,0.66962270106722,-6.22944145834958,4.68101030108545e-10,1.00067635304336e-08
"P50866",94.6194019291811,3.67227913029966,0.590613813021746,6.21773322826848,5.04388130121995e-10,1.05828102116337e-08
"P12879",361.901300531164,11.746682308024,1.90259702681596,6.1740253676746,6.65728522955151e-10,1.37140075728761e-08
"P80242",25.0153594471176,-8.2831592458082,1.34516942375752,-6.15770705125791,7.38057171574298e-10,1.493247813203e-08
"O31776",64.9059631539135,-3.82423589679237,0.633651609044098,-6.03523425524236,1.58732249667854e-09,3.15515155918735e-08
"P45743",35.5662970054054,8.3989034711734,1.40588578226321,5.97410086732134,2.31362627179193e-09,4.51954925162112e-08
"P37808",163.741681026988,-2.28333174971463,0.38590205722763,-5.91686856016881,3.28128703589876e-09,6.30118340961575e-08
"P54466",58.7973776264071,-3.52695207426252,0.596695633662995,-5.91080590385967,3.40437991059265e-09,6.42860406450245e-08
"P80698",200.323274277079,-2.8176941014882,0.478500064535321,-5.88859711905056,3.89487638761272e-09,7.23425401174626e-08
"O34645",20.2361797727333,-7.9773080979431,1.36524387759843,-5.84313779306287,5.12266099021849e-09,9.36124984180251e-08
"O34909",62.2267086287287,-3.05234112006395,0.524909499402664,-5.81498548518831,6.06391475128943e-09,1.0905421290811e-07
"O06724",28.9088450690398,-4.2406665826581,0.730434047376119,-5.80568033197728,6.41051662100916e-09,1.10047201993991e-07
"P11998",19.8756312100049,-7.95124764349846,1.36928828011105,-5.80684707449156,6.36602312888924e-09,1.10047201993991e-07
