"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q9HWW1",1691.88383002392,7.06018253082387,0.411382334149747,17.1620945887625,5.10392316519504e-66,6.67593150007511e-63
"P13794",1508.35967533212,8.74351497256655,0.659438080997346,13.2590386035073,3.99990670526759e-40,2.615938985245e-37
"Q9I4Z4",336.302246274845,6.6001569543947,0.50715631616055,13.0140486159405,1.01802286797063e-38,4.43857970435193e-36
"Q9I4S1",256.004633947675,9.0297355225766,0.867322931595157,10.4110420624638,2.20791431069877e-25,7.21987979598497e-23
"Q9HU11",173.265708049988,4.32285742210666,0.434076301767413,9.95875011951916,2.30947814657302e-23,6.04159483143502e-21
"P32722",147.946397981704,7.48072045273889,0.77082004402832,9.70488573914672,2.87398137426258e-22,6.26527939589243e-20
"O68822",93.4763477704338,4.78410193062271,0.517205327885851,9.24990844579733,2.24685043645585e-20,4.19840052983465e-18
"P00282",278.066767379439,-3.83387155675321,0.439644765498918,-8.72038485981394,2.77257761178802e-18,4.5331643952734e-16
"G3XD89",133.247531354468,9.00733518806995,1.10961758178051,8.11751303869631,4.75833697858527e-16,6.9154497422106e-14
"Q9HUM0",95.6654268202895,6.9617262324753,0.944597911050171,7.37004195227945,1.70574350474934e-13,2.23111250421214e-11
"Q9I3G1",193.215677494976,3.53892271996816,0.482142553563984,7.33999248522777,2.13605847577357e-13,2.53996771482893e-11
"Q9I0X7",56.2381459032016,7.04743791821365,0.994060291149599,7.0895477678356,1.34550954030536e-12,1.46660539893284e-10
"P72151",288.905433805614,-3.51522518907455,0.517018087606165,-6.79903715815886,1.05320653081489e-11,1.05056241456764e-09
"Q9I3D4",69.8522602365263,3.55363727442266,0.52339426637502,6.78959916591144,1.12445518378799e-11,1.05056241456764e-09
"G3XD11",33.3485574539247,8.82037035900037,1.3266710161083,6.6484985741788,2.96097848961089e-11,2.5819732429407e-09
"Q9HZA6",30.1267542469782,8.67552157630637,1.32537230110726,6.54572422334353,5.9207750601944e-11,4.84023361170892e-09
"Q9I456",30.2564782735614,8.68171206938353,1.33253444584015,6.51518772853169,7.25988048718795e-11,5.58583745720108e-09
"Q9I251",73.4817461163489,3.86903508765653,0.611408440707499,6.32806947051536,2.4824738041155e-10,1.80393096432393e-08
