,BS_sonic_1,BS_sonic_2,BS_sonic_3,BS_triflic_1,BS_triflic_2,BS_triflic_3,Jurkat_sonic_1,Jurkat_sonic_2,Jurkat_sonic_3,Jurkat_triflic_1,Jurkat_triflic_2,Jurkat_triflic_3,PA_pellet_1,PA_pellet_2,PA_pellet_3,PA_sonic_1,PA_sonic_2,PA_sonic_3,PA_triflic_1,PA_triflic_2,PA_triflic_3
A0A024QZP7,,,,,,,,,6.0,,,,,,,,,,,,
A0A024R571,,,,,,,4.0,6.0,6.0,6.0,5.0,2.0,,,,,,,,,
A0A075B6E2,,,,,,,,,,4.0,,,,,,,,,,,
A0A075B716,,,,,,,,3.0,6.0,5.0,4.0,,,,,,,,,,
A0A075B759,,,,,,,2.0,,,,,,,,,,,,,,
A0A075B788,,,,,,,,3.0,,,,,,,,,,,,,
A0A087WSV8,,,,,,,3.0,,,,,,,,,,,,,,
A0A087WSZ2,,,,,,,,,,,,3.0,,,,,,,,,
A0A087WT44,,,,,,,7.0,10.0,6.0,4.0,3.0,,,,,,,,,,
A0A087WT54,,,,,,,3.0,,,,,,,,,,,,,,
A0A087WTB8,,,,,,,7.0,,,,,,,,,,,,,,
A0A087WTG3,,,,,,,,,2.0,,,,,,,,,,,,
A0A087WTL3,,,,,,,,,,,,11.0,,,,,,,,,
A0A087WTS6,,,,,,,3.0,,,,,22.0,,,,,,,,,
A0A087WTS8,,,,,,,,6.0,,2.0,,,,,,,,,,,
A0A087WTT1,,,,,,,,9.0,22.0,,18.0,,,,,,,,,,
A0A087WTW0,,,,,,,3.0,,,,,,,,,,,,,,
A0A087WTZ5,,,,,,,8.0,,,,,,,,,,,,,,
A0A087WU68,,,,,,,36.0,2.0,8.0,6.0,24.0,21.0,,,,,,,,,
A0A087WUA7,,,,,,,,,2.0,,,,,,,,,,,,
A0A087WUB9,,,,,,,7.0,,,2.0,,2.0,,,,,,,,,
A0A087WUE9,,,,,,,7.0,,10.0,,2.0,,,,,,,,,,
A0A087WUI2,,,,,,,,,129.0,36.0,49.0,59.0,,,,,,,,,
A0A087WUL0,,,,,,,2.0,,,,,,,,,,,,,,
A0A087WUL9,,,,,,,2.0,,,5.0,3.0,,,,,,,,,,
A0A087WUV6,,,,,,,,,4.0,,,,,,,,,,,,
A0A087WUW5,,,,,,,6.0,,,5.0,3.0,2.0,,,,,,,,,
A0A087WUZ3,,,,,,,61.0,21.0,48.0,23.0,15.0,4.0,,,,,,,,,
A0A087WV01,,,,,,,173.0,348.0,92.0,113.0,44.0,288.0,,,,,,,,,
A0A087WV05,,,,,,,7.0,,2.0,,,,,,,,,,,,
A0A087WV23,,,,,,,8.0,3.0,9.0,,,,,,,,,,,,
A0A087WV29,,,,,,,2.0,,,,,,,,,,,,,,
A0A087WV68,,,,,,,,,5.0,,,,,,,,,,,,
A0A087WV73,,,,,,,4.0,,,,2.0,,,,,,,,,,
A0A087WV86,,,,,,,,2.0,,,,,,,,,,,,,
A0A087WVN4,,,,,,,,,,,,2.0,,,,,,,,,
A0A087WVQ6,,,,,,,69.0,34.0,37.0,40.0,43.0,27.0,,,,,,,,,
A0A087WVQ9,,,,,,,194.0,378.0,107.0,116.0,59.0,,,,,,,,,,
A0A087WVV1,,,,,,,4.0,,,,7.0,,,,,,,,,,
A0A087WWE2,,,,,,,7.0,,,7.0,3.0,2.0,,,,,,,,,
A0A087WWF6,,,,,,,,,,2.0,,,,,,,,,,,
A0A087WWN2,,,,,,,2.0,,,,,,,,,,,,,,
A0A087WWT3,,,,,,,6.0,,6.0,13.0,,,,,,,,,,,
A0A087WWU8,,,,,,,7.0,,,,,,,,,,,,,,
A0A087WWY3,,,,,,,100.0,14.0,133.0,23.0,16.0,25.0,,,,,,,,,
A0A087WX29,,,,,,,3.0,,2.0,,,,,,,,,,,,
A0A087WX41,,,,,,,,,5.0,,,,,,,,,,,,
A0A087WXF0,,,,,,,4.0,,2.0,,,,,,,,,,,,
A0A087WXH4,,,,,,,,,2.0,,,,,,,,,,,,
A0A087WXK5,,,,,,,,,2.0,,,,,,,,,,,,
A0A087WXR2,,,,,,,,,2.0,,,,,,,,,,,,
A0A087WXR7,,,,,,,11.0,,4.0,,,,,,,,,,,,
A0A087WY74,,,,,,,6.0,,,3.0,2.0,,,,,,,,,,
A0A087WYA7,,,,,,,,3.0,8.0,,,,,,,,,,,,
A0A087WYC1,,,,,,,,10.0,,3.0,,,,,,,,,,,
A0A087WYJ1,,,,,,,3.0,,,,,,,,,,,,,,
A0A087WYR3,,,,,,,2.0,9.0,,,,,,,,,,,,,
A0A087WYS0,,,,,,,9.0,,,,,,,,,,,,,,
A0A087WYT3,,,,,,,11.0,2.0,7.0,,,11.0,,,,,,,,,
A0A087WYY0,,,,,,,,,,,3.0,,,,,,,,,,
A0A087WYY5,,,,,,,,,5.0,,,,,,,,,,,,
A0A087WYZ1,,,,,,,6.0,,,,,,,,,,,,,,
A0A087WZ27,,,,,,,,,6.0,,,,,,,,,,,,
A0A087WZE9,,,,,,,8.0,,10.0,,,,,,,,,,,,
A0A087WZJ6,,,,,,,6.0,,2.0,,,,,,,,,,,,
A0A087WZK0,,,,,,,,,,,2.0,,,,,,,,,,
A0A087WZM5,,,,,,,11.0,,5.0,,,,,,,,,,,,
A0A087WZN1,,,,,,,6.0,,,8.0,5.0,3.0,,,,,,,,,
A0A087WZP9,,,,,,,,,12.0,,,,,,,,,,,,
A0A087WZQ6,,,,,,,,,,,,2.0,,,,,,,,,
A0A087WZV1,,,,,,,,,,,,2.0,,,,,,,,,
A0A087WZZ9,,,,,,,,,,,,23.0,,,,,,,,,
A0A087X082,,,,,,,,,,2.0,,,,,,,,,,,
A0A087X0H9,,,,,,,,,2.0,,,,,,,,,,,,
A0A087X0W9,,,,,,,,,,2.0,,,,,,,,,,,
A0A087X0X3,,,,,,,,,31.0,,,,,,,,,,,,
A0A087X1A5,,,,,,,3.0,,,,,,,,,,,,,,
A0A087X1E4,,,,,,,6.0,,,,,,,,,,,,,,
A0A087X1I3,,,,,,,16.0,24.0,48.0,,,,,,,,,,,,
A0A087X1S2,,,,,,,38.0,,,19.0,13.0,,,,,,,,,,
A0A087X1X7,,,,,,,,,4.0,,8.0,,,,,,,,,,
A0A087X1Z3,,,,,,,8.0,6.0,8.0,,,,,,,,,,,,
A0A087X243,,,,,,,25.0,,5.0,20.0,,30.0,,,,,,,,,
A0A087X271,,,,,,,2.0,,2.0,,,,,,,,,,,,
A0A087X295,,,,,,,3.0,,,,2.0,,,,,,,,,,
A0A087X2D0,,,,,,,7.0,,7.0,,,,,,,,,,,,
A0A087X2E9,,,,,,,4.0,,,,,2.0,,,,,,,,,
A0A087X2G1,,,,,,,,4.0,,,,,,,,,,,,,
A0A087X2H1,,,,,,,,,,,,2.0,,,,,,,,,
A0A087X2I1,,,,,,,2.0,3.0,7.0,2.0,2.0,,,,,,,,,,
A0A096LNH5,,,,,,,8.0,,,,,,,,,,,,,,
A0A096LNW8,,,,,,,,,,,2.0,,,,,,,,,,
A0A096LNY5,,,,,,,3.0,10.0,4.0,6.0,8.0,7.0,,,,,,,,,
A0A096LNY6,,,,,,,18.0,,21.0,,13.0,,,,,,,,,,
A0A096LNZ9,,,,,,,,,25.0,,,,,,,,,,,,
A0A096LP12,,,,,,,5.0,,,,,,,,,,,,,,
A0A096LP76,,,,,,,6.0,,3.0,5.0,,6.0,,,,,,,,,
A0A096LPI6,,,,,,,13.0,,,,,,,,,,,,,,
A0A0A0MR07,,,,,,,,,3.0,,,,,,,,,,,,
A0A0A0MR50,,,,,,,9.0,,,,,,,,,,,,,,
A0A0A0MR52,,,,,,,6.0,,,4.0,,,,,,,,,,,
A0A0A0MR62,,,,,,,7.0,,,,,,,,,,,,,,
A0A0A0MRI2,,,,,,,,,,5.0,,,,,,,,,,,
A0A0A0MRL0,,,,,,,,7.0,5.0,,,9.0,,,,,,,,,
A0A0A0MRM9,,,,,,,8.0,,4.0,5.0,10.0,,,,,,,,,,
A0A0A0MRQ5,,,,,,,60.0,,18.0,11.0,6.0,60.0,,,,,,,,,
A0A0A0MRW6,,,,,,,,,,,3.0,2.0,,,,,,,,,
A0A0A0MRX9,,,,,,,3.0,,,,,,,,,,,,,,
A0A0A0MS54,,,,,,,,,2.0,,,,,,,,,,,,
A0A0A0MSE2,,,,,,,46.0,20.0,14.0,,,26.0,,,,,,,,,
A0A0A0MSI0,,,,,,,76.0,,33.0,,,18.0,,,,,,,,,
A0A0A0MSM0,,,,,,,10.0,,,,,,,,,,,,,,
A0A0A0MSU9,,,,,,,,,,3.0,7.0,4.0,,,,,,,,,
A0A0A0MSV9,,,,,,,,,4.0,,,,,,,,,,,,
A0A0A0MT22,,,,,,,35.0,8.0,7.0,,2.0,,,,,,,,,,
A0A0A0MT49,,,,,,,,,,3.0,,,,,,,,,,,
A0A0A0MT64,,,,,,,3.0,,,,,,,,,,,,,,
A0A0A0MT83,,,,,,,2.0,,2.0,,,,,,,,,,,,
A0A0A0MTC1,,,,,,,21.0,4.0,,7.0,5.0,3.0,,,,,,,,,
A0A0A0MTH3,,,,,,,2.0,3.0,,2.0,,,,,,,,,,,
A0A0A0MTI5,,,,,,,,6.0,8.0,,,,,,,,,,,,
A0A0A0MTR2,,,,,,,4.0,,,,,,,,,,,,,,
A0A0A0MTS2,,,,,,,53.0,35.0,72.0,17.0,26.0,13.0,,,,,,,,,
A0A0A0MTS7,,,,,,,2.0,,,,,,,,,,,,,,
A0A0A6YY92,,,,,,,19.0,14.0,25.0,11.0,14.0,14.0,,,,,,,,,
A0A0A6YYG9,,,,,,,8.0,,,6.0,2.0,,,,,,,,,,
A0A0A6YYJ8,,,,,,,6.0,,2.0,,2.0,3.0,,,,,,,,,
A0A0A6YYL4,,,,,,,15.0,,10.0,,,,,,,,,,,,
A0A0A6YYL6,,,,,,,,47.0,7.0,5.0,2.0,4.0,,,,,,,,,
A0A0B4J1R6,,,,,,,16.0,,7.0,11.0,19.0,16.0,,,,,,,,,
A0A0B4J203,,,,,,,,5.0,,,,,,,,,,,,,
A0A0B4J210,,,,,,,7.0,,,6.0,5.0,,,,,,,,,,
A0A0B4J269,,,,,,,49.0,56.0,58.0,24.0,48.0,67.0,,,,,,,,,
A0A0B4J2A2,,,,,,,,,3.0,,,,,,,,,,,,
A0A0B4J2C3,,,,,,,3.0,,4.0,3.0,3.0,,,,,,,,,,
A0A0B4J2G9,,,,,,,3.0,,3.0,,,7.0,,,,,,,,,
A0A0C4DFQ1,,,,,,,,,,2.0,,4.0,,,,,,,,,
A0A0C4DFR6,,,,,,,,2.0,,,,,,,,,,,,,
A0A0C4DFX0,,,,,,,,,,,2.0,3.0,,,,,,,,,
