"","BS_sonic_1","BS_sonic_2","BS_sonic_3","BS_triflic_1","BS_triflic_2","BS_triflic_3"
"C0H3V2",4.06287187783651,7.70346889373269,5.30005296896927,0,2.83094857040124,2.92462139640738
"C0H3V3",6.09430781675477,6.60297333748517,9.54009534414468,0,0,0
"C0H3X4",4.06287187783651,3.30148666874258,7.42007415655697,0,0,0
"C0H3Y1",0,0,0,2.41019962860706,0,2.92462139640738
"C0H410",6.09430781675477,6.60297333748517,4.24004237517541,0,0,0
"C0SP85",3.04715390837739,4.40198222499011,3.18003178138156,10.8458983287318,12.267443805072,28.515058614972
"C0SP86",0,0,0,0,3.77459809386832,5.11808744371292
"C0SP93",10.1571796945913,14.3064422312179,11.6601165317324,15.6662975859459,30.1967847509465,23.396971171259
"C0SP94",0,0,2.12002118758771,9.64079851442824,2.83094857040124,7.31155349101845
"C0SP95",3.04715390837739,2.20099111249506,3.18003178138156,0,0,2.19346604730554
"C0SP98",22.3457953281008,13.2059466749703,21.2002118758771,0,0,0
"C0SPA5",3.04715390837739,0,2.12002118758771,0,0,0
"C0SPA7",0,0,0,2.41019962860706,4.7182476173354,5.84924279281476
"C0SPB0",0,0,0,0,2.83094857040124,8.0427088401203
"C0SPB1",30.4715390837739,27.5123889061882,12.7201271255262,9.64079851442824,1.88729904693416,2.19346604730554
"C0SPB4",0,0,0,0,0,4.38693209461107
"C0SPC3",7.1100257862139,6.60297333748517,8.48008475035083,0,0,0
"O05236",0,2.20099111249506,0,2.41019962860706,0,0
"O05239",10.1571796945913,11.0049555624753,10.6001059379385,7.23059888582118,1.88729904693416,5.11808744371292
"O05240",6.09430781675477,8.80396444998022,6.36006356276312,2.41019962860706,1.88729904693416,2.19346604730554
"O05243",0,0,0,0,0,2.19346604730554
"O05251",3.04715390837739,2.20099111249506,3.18003178138156,0,0,0
"O05252",5.07858984729564,5.50247778123764,3.18003178138156,0,0,0
"O05265",11.1728976640504,13.2059466749703,11.6601165317324,8.43569870012471,5.66189714080248,4.38693209461107
"O05268",13.2043336029687,16.5074333437129,11.6601165317324,8.43569870012471,16.0420418989404,29.2462139640738
"O05389",8.12574375567303,9.90446000622775,4.24004237517541,18.0764972145529,13.2110933285391,16.8165730293424
"O05392",0,0,0,0,0,2.92462139640738
"O05394",0,0,0,0,4.7182476173354,3.65577674550923
"O05398",0,0,0,2.41019962860706,1.88729904693416,1.46231069820369
"O05494",0,0,0,2.41019962860706,2.83094857040124,1.46231069820369
"O05496",63.9902320759251,49.5223000311388,57.2405720648681,33.7427948004988,40.5769295090844,24.1281265203609
"O05508",2.03143593891826,3.30148666874258,2.12002118758771,0,1.88729904693416,5.84924279281476
"O05516",13.2043336029687,9.90446000622775,10.6001059379385,3.61529944291059,3.77459809386832,2.19346604730554
"O05519",2.03143593891826,0,3.18003178138156,10.8458983287318,7.54919618773664,6.58039814191661
"O05521",5.07858984729564,4.40198222499011,4.24004237517541,9.64079851442824,11.323794281605,10.2361748874258
"O05522",5.07858984729564,3.30148666874258,7.42007415655697,0,1.88729904693416,0
"O06006",5.07858984729564,6.60297333748517,0,0,2.83094857040124,14.6231069820369
"O06476",6.09430781675477,6.60297333748517,11.6601165317324,8.43569870012471,1.88729904693416,1.46231069820369
"O06477",2.03143593891826,0,0,3.61529944291059,3.77459809386832,8.77386418922214
"O06478",48.7544625340382,64.9292378186042,55.1205508772804,39.7682938720165,23.591238086677,30.7085246622775
"O06491",26.4086672059373,24.2109022374456,28.620286032434,66.2804897866941,60.3935695018931,92.8567293359343
"O06492",7.1100257862139,8.80396444998022,9.54009534414468,4.82039925721412,9.4364952346708,13.1607962838332
"O06714",3.04715390837739,4.40198222499011,2.12002118758771,0,0,5.11808744371292
"O06724",52.8173344118747,49.5223000311388,49.8204979083111,8.43569870012471,4.7182476173354,10.9673302365277
"O06736",0,0,0,2.41019962860706,2.83094857040124,0
"O06743",0,0,0,0,2.83094857040124,0
"O06746",0,0,0,2.41019962860706,3.77459809386832,0
"O06747",8.12574375567303,8.80396444998022,7.42007415655697,3.61529944291059,5.66189714080248,2.19346604730554
"O06965",0,0,0,0,0,2.92462139640738
"O06972",9.14146172513216,7.70346889373269,6.36006356276312,19.2815970288565,19.8166399928087,25.5904372185646
"O06973",6.09430781675477,2.20099111249506,2.12002118758771,53.0243918293553,40.5769295090844,62.1482046736568
"O06974",15.2357695418869,26.4118933499407,32.8603284076095,8.43569870012471,10.3801447581379,8.0427088401203
"O06975",0,0,0,2.41019962860706,0,5.11808744371292
"O06977",4.06287187783651,0,0,0,0,0
"O06980",10.1571796945913,7.70346889373269,8.48008475035083,0,0,0
"O06986",0,0,0,12.0509981430353,10.3801447581379,3.65577674550923
"O06994",10.1571796945913,8.80396444998022,11.6601165317324,0,0,0
"O07001",3.04715390837739,0,0,7.23059888582118,1.88729904693416,0
"O07008",0,4.40198222499011,4.24004237517541,0,0,0
"O07012",0,0,0,0,0,2.92462139640738
"O07015",0,0,2.12002118758771,10.8458983287318,4.7182476173354,8.0427088401203
"O07020",52.8173344118747,69.3312200435943,31.8003178138156,3.61529944291059,9.4364952346708,16.0854176802406
"O07021",123.917592274014,114.451537849743,132.501324224232,46.9988927578377,75.4919618773664,68.7286028155734
"O07081",0,0,0,0,1.88729904693416,8.0427088401203
"O07513",14.2200515724278,9.90446000622775,6.36006356276312,10.8458983287318,10.3801447581379,13.8919516329351
"O07516",11.1728976640504,11.0049555624753,7.42007415655697,16.8713974002494,11.323794281605,4.38693209461107
"O07521",20.3143593891826,16.5074333437129,18.0201800944955,18.0764972145529,19.8166399928087,19.010039076648
"O07527",0,0,0,2.41019962860706,0,1.46231069820369
"O07529",22.3457953281008,18.708424456208,12.7201271255262,0,0,2.19346604730554
"O07533",8.12574375567303,11.0049555624753,9.54009534414468,0,0,0
"O07542",3.04715390837739,0,0,0,2.83094857040124,8.0427088401203
"O07543",0,0,0,0,0,2.92462139640738
"O07552",7.1100257862139,5.50247778123764,5.30005296896927,0,0,0
"O07567",0,0,0,3.61529944291059,1.88729904693416,0
"O07573",0,0,0,0,1.88729904693416,5.11808744371292
"O07575",4.06287187783651,3.30148666874258,4.24004237517541,0,0,0
"O07581",0,0,0,0,0,5.11808744371292
"O07584",5.07858984729564,3.30148666874258,3.18003178138156,6.02549907151765,1.88729904693416,0
"O07585",0,3.30148666874258,0,2.41019962860706,0,2.92462139640738
"O07587",2.03143593891826,3.30148666874258,2.12002118758771,4.82039925721412,5.66189714080248,2.92462139640738
"O07595",0,4.40198222499011,0,0,0,1.46231069820369
"O07597",17.2672054808052,17.6079288999604,31.8003178138156,4.82039925721412,3.77459809386832,5.11808744371292
"O07598",7.1100257862139,2.20099111249506,3.18003178138156,0,0,1.46231069820369
"O07603",2.03143593891826,4.40198222499011,0,13.2560979573388,18.8729904693416,18.2788837275461
"O07604",3.04715390837739,0,0,2.41019962860706,0,0
"O07607",5.07858984729564,6.60297333748517,5.30005296896927,7.23059888582118,6.60554666426956,6.58039814191661
"O07608",23.36151329756,22.0099111249506,31.8003178138156,56.6396912722659,81.1538590181688,51.1808744371292
"O07609",7.1100257862139,3.30148666874258,0,21.6917966574635,21.7039390397428,38.0200781532959
"O07610",0,0,0,2.41019962860706,2.83094857040124,0
"O07617",5.07858984729564,6.60297333748517,9.54009534414468,7.23059888582118,8.49284571120372,4.38693209461107
"O07618",3.04715390837739,0,2.12002118758771,0,0,1.46231069820369
"O07621",12.1886156335095,12.1054511187228,9.54009534414468,4.82039925721412,5.66189714080248,5.84924279281476
"O07624",0,0,0,6.02549907151765,4.7182476173354,4.38693209461107
"O07631",10.1571796945913,8.80396444998022,13.7801377193201,73.5110886725153,61.3372190253602,76.7713116556937
"O07636",0,0,3.18003178138156,0,0,1.46231069820369
"O07638",3.04715390837739,4.40198222499011,2.12002118758771,0,0,0
"O08336",2.03143593891826,0,2.12002118758771,0,0,5.11808744371292
"O08394",3.04715390837739,0,3.18003178138156,0,0,0
"O08455",0,2.20099111249506,2.12002118758771,0,0,0
"O30509",20.3143593891826,17.6079288999604,20.1402012820832,12.0509981430353,12.267443805072,27.0527479167683
"O30601",0,0,0,0,1.88729904693416,2.92462139640738
"O31404",29.4558211143147,23.1104066811981,23.3202330634648,9.64079851442824,10.3801447581379,18.2788837275461
"O31418",0,0,0,0,0,2.19346604730554
"O31422",0,0,0,4.82039925721412,2.83094857040124,2.19346604730554
"O31423",3.04715390837739,0,0,0,0,0
"O31429",8.12574375567303,3.30148666874258,0,0,0,0
"O31440",4.06287187783651,3.30148666874258,4.24004237517541,0,0,0
"O31441",15.2357695418869,18.708424456208,10.6001059379385,0,0,0
"O31455",0,0,0,10.8458983287318,2.83094857040124,2.92462139640738
"O31457",0,2.20099111249506,5.30005296896927,16.8713974002494,7.54919618773664,2.92462139640738
"O31475",0,0,0,0,0,2.19346604730554
"O31479",0,0,0,0,0,5.11808744371292
"O31484",2.03143593891826,4.40198222499011,0,0,1.88729904693416,0
"O31489",0,0,0,10.8458983287318,4.7182476173354,5.11808744371292
"O31498",5.07858984729564,4.40198222499011,2.12002118758771,0,0,0
"O31501",6.09430781675477,5.50247778123764,3.18003178138156,0,0,0
"O31502",0,0,0,2.41019962860706,2.83094857040124,1.46231069820369
"O31506",0,0,0,0,0,2.92462139640738
"O31509",2.03143593891826,13.2059466749703,8.48008475035083,0,0,10.2361748874258
"O31534",4.06287187783651,9.90446000622775,3.18003178138156,6.02549907151765,1.88729904693416,0
"O31544",3.04715390837739,2.20099111249506,3.18003178138156,0,0,0
"O31545",4.06287187783651,3.30148666874258,3.18003178138156,2.41019962860706,0,2.19346604730554
"O31546",6.09430781675477,5.50247778123764,0,0,0,2.92462139640738
"O31550",6.09430781675477,7.70346889373269,9.54009534414468,25.3070961003741,15.0983923754733,28.515058614972
"O31556",6.09430781675477,2.20099111249506,3.18003178138156,0,0,0
"O31567",10.1571796945913,4.40198222499011,10.6001059379385,21.6917966574635,18.8729904693416,26.3215925676664
"O31570",3.04715390837739,0,0,6.02549907151765,2.83094857040124,5.84924279281476
"O31571",2.03143593891826,0,3.18003178138156,8.43569870012471,19.8166399928087,30.7085246622775
"O31576",0,0,0,8.43569870012471,2.83094857040124,0
"O31581",19.2986414197234,18.708424456208,13.7801377193201,0,1.88729904693416,1.46231069820369
"O31590",9.14146172513216,7.70346889373269,7.42007415655697,21.6917966574635,31.1404342744136,29.9773693131757
"O31601",4.06287187783651,2.20099111249506,5.30005296896927,0,0,0
"O31602",2.03143593891826,0,3.18003178138156,0,0,0
"O31605",50.7858984729564,52.8237866998813,41.3404131579603,22.8968964717671,26.4221866570782,21.2035051239535
"O31607",2.03143593891826,0,0,0,2.83094857040124,5.84924279281476
"O31610",3.04715390837739,0,0,2.41019962860706,2.83094857040124,0
"O31611",0,3.30148666874258,0,0,0,2.92462139640738
"O31612",6.09430781675477,4.40198222499011,5.30005296896927,3.61529944291059,4.7182476173354,9.50501953832399
"O31613",0,0,0,0,0,2.19346604730554
"O31614",0,0,0,0,3.77459809386832,3.65577674550923
"O31629",223.457953281008,265.219429055654,322.243220513331,9.64079851442824,10.3801447581379,21.2035051239535
"O31630",21.3300773586417,19.8089200124555,23.3202330634648,10.8458983287318,13.2110933285391,26.3215925676664
"O31631",5.07858984729564,3.30148666874258,7.42007415655697,0,0,0
"O31632",6.09430781675477,3.30148666874258,9.54009534414468,0,0,0
"O31635",0,0,0,9.64079851442824,3.77459809386832,0
"O31638",0,0,0,0,0,4.38693209461107
"O31639",4.06287187783651,5.50247778123764,3.18003178138156,0,0,2.92462139640738
"O31641",0,2.20099111249506,0,0,0,1.46231069820369
"O31642",3.04715390837739,3.30148666874258,0,0,0,0
"O31644",0,0,0,6.02549907151765,9.4364952346708,7.31155349101845
"O31645",7.1100257862139,6.60297333748517,7.42007415655697,22.8968964717671,15.0983923754733,24.1281265203609
"O31646",6.09430781675477,6.60297333748517,5.30005296896927,73.5110886725153,51.9007237906894,47.5250976916199
"O31656",6.09430781675477,3.30148666874258,3.18003178138156,0,2.83094857040124,0
"O31657",0,0,0,0,2.83094857040124,2.92462139640738
"O31664",2.03143593891826,7.70346889373269,3.18003178138156,0,0,0
"O31669",18.2829234502643,16.5074333437129,8.48008475035083,0,0,0
"O31671",4.06287187783651,0,4.24004237517541,0,0,0
"O31673",2.03143593891826,4.40198222499011,4.24004237517541,0,0,0
"O31675",4.06287187783651,4.40198222499011,7.42007415655697,4.82039925721412,4.7182476173354,4.38693209461107
"O31676",0,0,0,0,1.88729904693416,1.46231069820369
"O31677",4.06287187783651,5.50247778123764,3.18003178138156,0,0,0
"O31678",9.14146172513216,9.90446000622775,8.48008475035083,0,0,0
"O31688",5.07858984729564,8.80396444998022,9.54009534414468,7.23059888582118,0,8.0427088401203
"O31689",21.3300773586417,23.1104066811981,23.3202330634648,9.64079851442824,12.267443805072,13.8919516329351
"O31691",0,0,0,0,1.88729904693416,2.92462139640738
"O31698",4.06287187783651,3.30148666874258,3.18003178138156,7.23059888582118,1.88729904693416,2.19346604730554
"O31699",7.1100257862139,4.40198222499011,7.42007415655697,0,1.88729904693416,1.46231069820369
"O31703",17.2672054808052,18.708424456208,23.3202330634648,2.41019962860706,0,1.46231069820369
"O31709",3.04715390837739,3.30148666874258,3.18003178138156,7.23059888582118,7.54919618773664,6.58039814191661
"O31710",0,2.20099111249506,0,4.82039925721412,3.77459809386832,4.38693209461107
"O31711",0,0,0,3.61529944291059,2.83094857040124,7.31155349101845
"O31714",0,0,0,0,0,2.92462139640738
"O31716",10.1571796945913,18.708424456208,14.8401483131139,27.7172957289812,19.8166399928087,23.396971171259
"O31717",4.06287187783651,3.30148666874258,3.18003178138156,0,4.7182476173354,17.5477283784443
"O31718",8.12574375567303,7.70346889373269,2.12002118758771,0,1.88729904693416,0
"O31726",0,0,0,0,1.88729904693416,2.92462139640738
"O31728",3.04715390837739,3.30148666874258,4.24004237517541,0,0,0
"O31729",2.03143593891826,0,2.12002118758771,0,1.88729904693416,0
"O31740",2.03143593891826,3.30148666874258,2.12002118758771,0,0,0
"O31741",0,0,0,4.82039925721412,0,0
"O31742",0,3.30148666874258,5.30005296896927,13.2560979573388,11.323794281605,19.010039076648
"O31743",0,4.40198222499011,0,2.41019962860706,1.88729904693416,2.19346604730554
"O31749",4.06287187783651,2.20099111249506,3.18003178138156,0,0,5.84924279281476
"O31751",5.07858984729564,2.20099111249506,2.12002118758771,2.41019962860706,0,1.46231069820369
"O31753",5.07858984729564,0,0,16.8713974002494,18.8729904693416,10.9673302365277
"O31754",3.04715390837739,0,2.12002118758771,3.61529944291059,0,2.19346604730554
"O31755",12.1886156335095,12.1054511187228,18.0201800944955,42.1784935006235,47.182476173354,44.6004762952126
"O31760",29.4558211143147,37.416848912416,26.5002648448463,25.3070961003741,30.1967847509465,34.3643014077867
"O31764",3.04715390837739,8.80396444998022,2.12002118758771,6.02549907151765,7.54919618773664,14.6231069820369
"O31766",14.2200515724278,18.708424456208,30.7403072200218,4.82039925721412,4.7182476173354,24.1281265203609
"O31771",4.06287187783651,3.30148666874258,3.18003178138156,0,0,0
"O31773",0,0,0,2.41019962860706,2.83094857040124,10.2361748874258
"O31774",22.3457953281008,15.4069377874654,15.9001589069078,25.3070961003741,19.8166399928087,15.3542623311387
"O31775",14.2200515724278,14.3064422312179,11.6601165317324,0,2.83094857040124,2.92462139640738
"O31776",116.8075664878,104.547077843515,114.481144129736,15.6662975859459,19.8166399928087,14.6231069820369
"O31777",196.033568105612,129.858475637208,131.441313630438,31.3325951718918,24.5348876101441,34.3643014077867
"O31778",38.5972828394469,28.6128844624357,43.460434345548,48.2039925721412,33.9713828448149,21.9346604730554
"O31779",2.03143593891826,5.50247778123764,3.18003178138156,7.23059888582118,5.66189714080248,2.92462139640738
"O31785",0,3.30148666874258,2.12002118758771,8.43569870012471,16.9856914224074,9.50501953832399
"O31786",0,3.30148666874258,3.18003178138156,0,0,0
"O31796",0,0,0,42.1784935006235,37.7459809386832,23.396971171259
"O31806",7.1100257862139,2.20099111249506,6.36006356276312,4.82039925721412,6.60554666426956,3.65577674550923
"O31822",0,0,0,0,0,2.19346604730554
"O31823",0,0,0,2.41019962860706,1.88729904693416,2.19346604730554
"O31827",0,0,0,2.41019962860706,2.83094857040124,2.19346604730554
"O31844",0,0,0,0,2.83094857040124,2.92462139640738
"O31847",0,0,0,0,5.66189714080248,3.65577674550923
"O31848",4.06287187783651,4.40198222499011,4.24004237517541,0,0,0
"O31850",0,2.20099111249506,0,2.41019962860706,6.60554666426956,1.46231069820369
"O31852",0,0,0,0,0,2.92462139640738
"O31857",2.03143593891826,4.40198222499011,3.18003178138156,0,0,3.65577674550923
"O31858",0,2.20099111249506,0,6.02549907151765,0,3.65577674550923
"O31875",0,0,0,8.43569870012471,2.83094857040124,1.46231069820369
"O31916",0,4.40198222499011,3.18003178138156,0,0,0
"O31925",0,0,0,2.41019962860706,2.83094857040124,0
"O31937",5.07858984729564,0,2.12002118758771,0,2.83094857040124,0
"O31942",0,0,0,2.41019962860706,3.77459809386832,0
"O31974",0,0,0,3.61529944291059,0,0
"O31978",2.03143593891826,0,6.36006356276312,0,0,0
"O31986",13.2043336029687,8.80396444998022,14.8401483131139,12.0509981430353,11.323794281605,7.31155349101845
"O31989",0,0,0,6.02549907151765,8.49284571120372,27.0527479167683
"O31995",0,0,0,0,0,2.19346604730554
"O31998",0,3.30148666874258,0,0,0,0
"O32000",10.1571796945913,11.0049555624753,12.7201271255262,8.43569870012471,10.3801447581379,8.77386418922214
"O32002",0,0,0,0,0,3.65577674550923
"O32003",15.2357695418869,14.3064422312179,10.6001059379385,3.61529944291059,11.323794281605,3.65577674550923
"O32022",0,0,0,0,0,2.19346604730554
"O32023",0,0,0,3.61529944291059,0,2.19346604730554
"O32028",10.1571796945913,14.3064422312179,14.8401483131139,32.5376949861953,30.1967847509465,38.7512335023978
"O32033",0,0,0,2.41019962860706,0,1.46231069820369
"O32034",8.12574375567303,4.40198222499011,9.54009534414468,21.6917966574635,12.267443805072,7.31155349101845
"O32035",0,0,0,0,1.88729904693416,1.46231069820369
"O32037",0,2.20099111249506,0,2.41019962860706,4.7182476173354,4.38693209461107
"O32038",30.4715390837739,25.3113977936931,40.2804025641664,15.6662975859459,18.8729904693416,23.396971171259
"O32039",4.06287187783651,7.70346889373269,3.18003178138156,9.64079851442824,4.7182476173354,10.2361748874258
"O32044",3.04715390837739,0,3.18003178138156,3.61529944291059,0,3.65577674550923
"O32047",19.2986414197234,29.7133800186833,25.4402542510525,18.0764972145529,15.0983923754733,15.3542623311387
"O32049",0,0,0,0,3.77459809386832,3.65577674550923
"O32052",33.5186929921512,26.4118933499407,33.9203390014033,10.8458983287318,4.7182476173354,8.77386418922214
"O32053",5.07858984729564,3.30148666874258,3.18003178138156,0,0,0
"O32054",0,3.30148666874258,2.12002118758771,3.61529944291059,4.7182476173354,5.84924279281476
"O32055",0,0,0,3.61529944291059,4.7182476173354,2.19346604730554
"O32065",3.04715390837739,3.30148666874258,0,0,0,2.19346604730554
"O32072",7.1100257862139,7.70346889373269,10.6001059379385,0,1.88729904693416,0
"O32078",19.2986414197234,25.3113977936931,26.5002648448463,14.4611977716424,9.4364952346708,8.77386418922214
"O32090",16.2514875113461,19.8089200124555,12.7201271255262,31.3325951718918,42.4642285560186,27.0527479167683
"O32091",0,3.30148666874258,0,3.61529944291059,3.77459809386832,0
"O32093",5.07858984729564,5.50247778123764,6.36006356276312,0,2.83094857040124,2.92462139640738
"O32099",0,0,0,2.41019962860706,1.88729904693416,6.58039814191661
"O32102",0,0,0,10.8458983287318,13.2110933285391,14.6231069820369
"O32103",2.03143593891826,2.20099111249506,0,0,0,0
"O32106",4.06287187783651,3.30148666874258,6.36006356276312,0,1.88729904693416,2.92462139640738
"O32113",3.04715390837739,3.30148666874258,7.42007415655697,2.41019962860706,2.83094857040124,0
"O32114",9.14146172513216,2.20099111249506,10.6001059379385,0,7.54919618773664,0
"O32117",11.1728976640504,7.70346889373269,9.54009534414468,7.23059888582118,12.267443805072,8.0427088401203
"O32118",5.07858984729564,6.60297333748517,6.36006356276312,0,0,0
"O32119",0,2.20099111249506,0,2.41019962860706,6.60554666426956,3.65577674550923
"O32125",2.03143593891826,2.20099111249506,4.24004237517541,0,0,0
"O32126",0,0,0,9.64079851442824,8.49284571120372,9.50501953832399
"O32127",0,0,0,0,3.77459809386832,15.3542623311387
"O32129",2.03143593891826,2.20099111249506,0,4.82039925721412,11.323794281605,10.9673302365277
"O32133",3.04715390837739,3.30148666874258,2.12002118758771,2.41019962860706,0,5.11808744371292
"O32159",0,4.40198222499011,0,0,0,0
"O32161",10.1571796945913,4.40198222499011,8.48008475035083,3.61529944291059,0,1.46231069820369
"O32162",96.4932070986172,128.757980080961,80.5608051283329,37.3580942434094,34.9150323682819,75.3090009574901
"O32164",75.1631297399755,74.8336978248319,91.1609110662714,57.8447910865694,43.4078780794857,48.9874083898236
"O32165",147.279105571574,143.064422312179,196.101959851863,63.8702901580871,59.449919978426,43.1381655970089
"O32167",3.04715390837739,5.50247778123764,3.18003178138156,21.6917966574635,20.7602895162758,19.010039076648
"O32169",5.07858984729564,6.60297333748517,7.42007415655697,0,0,1.46231069820369
"O32174",10.1571796945913,12.1054511187228,5.30005296896927,20.48669684316,48.1261256968211,32.901990709583
