"","Jurkat_sonic_1","Jurkat_sonic_2","Jurkat_sonic_3","Jurkat_triflic_1","Jurkat_triflic_2","Jurkat_triflic_3"
"A0A024QZP7",14.9394315692723,2.85479768298702,4.13203774019132,16.0868113789109,14.3035787024522,31.4557411473239
"A0A024R216",0,0,4.13203774019132,0,0,6.99016469940532
"A0A024R341",0,0,4.13203774019132,0,0,0
"A0A024R4M0",3.73485789231807,1.90319845532468,8.95274843708119,26.8113522981848,5.7214314809809,3.49508234970266
"A0A024R571",2.48990526154538,5.70959536597403,4.13203774019132,8.04340568945543,7.15178935122612,2.33005489980177
"A0A024RA52",4.97981052309076,12.3707899596104,3.44336478349276,9.38397330436467,5.7214314809809,3.49508234970266
"A0A024RCR6",8.09219210002249,2.85479768298702,11.0187673071768,6.70283807454619,0,11.6502744990089
"A0A075B6E2",0,0,0,5.36227045963695,4.29107361073567,0
"A0A075B716",2.48990526154538,2.85479768298702,4.13203774019132,6.70283807454619,5.7214314809809,0
"A0A075B736",13.0720026231132,0,28.2355912246407,21.4490818385478,54.3535990693185,64.0765097445488
"A0A075B788",0,2.85479768298702,0,0,0,0
"A0A075B7A0",1.86742894615904,0,1.37734591339711,21.4490818385478,8.58214722147135,5.82513724950443
"A0A075B7A9",0,3.80639691064935,1.37734591339711,0,0,0
"A0A075B7C0",1.86742894615904,0,0,0,0,0
"A0A087WSV8",1.86742894615904,0,0,2.68113522981848,0,0
"A0A087WSW9",10.5820973615679,3.80639691064935,8.95274843708119,29.4924875280032,28.6071574049045,8.15519214930621
"A0A087WSY9",10.5820973615679,3.80639691064935,8.95274843708119,29.4924875280032,28.6071574049045,8.15519214930621
"A0A087WSZ2",0,0,0,0,0,3.49508234970266
"A0A087WT39",1.86742894615904,0,2.75469182679421,0,0,0
"A0A087WT44",4.35733420770442,9.51599227662339,4.13203774019132,5.36227045963695,4.29107361073567,0
"A0A087WT54",1.86742894615904,0,0,0,0,0
"A0A087WTB8",4.35733420770442,0,0,0,0,0
"A0A087WTD5",2.48990526154538,0,0,0,4.29107361073567,5.82513724950443
"A0A087WTH0",2.48990526154538,2.85479768298702,0,0,0,0
"A0A087WTL3",0,0,0,0,0,12.8153019489098
"A0A087WTP2",0,0,0,0,2.86071574049045,2.33005489980177
"A0A087WTP3",9.95962104618152,11.4191907319481,25.4808993978464,5.36227045963695,12.873220832207,17.4754117485133
"A0A087WTS6",1.86742894615904,0,0,0,0,25.6306038978195
"A0A087WTS8",1.86742894615904,5.70959536597403,0,2.68113522981848,0,2.33005489980177
"A0A087WTT1",16.8068605154313,8.56439304896105,15.1508050473682,17.4273789938201,25.746441664414,9.32021959920709
"A0A087WTV6",0,0,0,5.36227045963695,0,4.66010979960355
"A0A087WTW0",1.86742894615904,0,0,0,0,0
"A0A087WTZ5",4.97981052309076,1.90319845532468,2.75469182679421,0,0,0
"A0A087WU68",22.4091473539084,1.90319845532468,5.50938365358842,8.04340568945543,34.3285888858854,24.4655764479186
"A0A087WUB9",4.35733420770442,0,0,2.68113522981848,0,2.33005489980177
"A0A087WUE9",4.35733420770442,0,6.88672956698553,0,2.86071574049045,0
"A0A087WUI2",99.5962104618152,312.124546673247,88.8388114141133,48.2604341367326,70.087535642016,68.7366195441523
"A0A087WUI8",0,0,0,0,5.7214314809809,0
"A0A087WUK2",2.48990526154538,9.51599227662339,1.37734591339711,0,0,2.33005489980177
"A0A087WUL9",1.24495263077269,0,0,6.70283807454619,4.29107361073567,0
"A0A087WUN7",0,0,0,2.68113522981848,2.86071574049045,0
"A0A087WUS0",8.09219210002249,0,16.5281509607653,8.04340568945543,5.7214314809809,9.32021959920709
"A0A087WUT6",13.0720026231132,6.66119459363637,1.37734591339711,20.1085142236386,15.7339365726975,6.99016469940532
"A0A087WUV6",0,0,2.75469182679421,0,0,0
"A0A087WUW5",3.73485789231807,0,0,6.70283807454619,4.29107361073567,2.33005489980177
"A0A087WUZ3",37.9710552385671,19.9835837809091,33.0563019215305,30.8330551429125,21.4553680536784,4.66010979960355
"A0A087WV01",107.688402561838,331.156531226494,63.3579120162668,151.484140484744,62.9357462907899,335.527905571455
"A0A087WV05",4.35733420770442,0,1.37734591339711,0,0,0
"A0A087WV22",1.86742894615904,0,2.75469182679421,33.514190372731,11.4428629619618,6.99016469940532
"A0A087WV23",4.97981052309076,2.85479768298702,6.19805661028697,0,0,0
"A0A087WV29",1.24495263077269,1.90319845532468,0,4.02170284472771,8.58214722147135,0
"A0A087WV66",0,0,2.06601887009566,0,0,4.66010979960355
"A0A087WV68",0,0,3.44336478349276,0,0,0
"A0A087WV73",2.48990526154538,0,0,0,2.86071574049045,0
"A0A087WVB9",3.11238157693173,0,0,0,0,0
"A0A087WVD3",1.24495263077269,0,1.37734591339711,0,0,0
"A0A087WVM4",5.60228683847711,0,0,2.68113522981848,0,2.33005489980177
"A0A087WVM7",2.48990526154538,0,0,2.68113522981848,0,0
"A0A087WVN4",0,0,0,0,2.86071574049045,2.33005489980177
"A0A087WVQ6",42.9508657616578,32.3543737405195,25.4808993978464,53.6227045963695,61.5053884205446,31.4557411473239
"A0A087WVQ9",120.760405184951,359.704508056364,73.6880063667451,155.505843329472,84.3911143444682,503.291858357183
"A0A087WVR3",1.86742894615904,0,0,0,0,0
"A0A087WVS2",3.73485789231807,0,2.06601887009566,14.7462437640016,5.7214314809809,19.8054666483151
"A0A087WVV1",2.48990526154538,0,0,0,10.0125050917166,5.82513724950443
"A0A087WVW7",2.48990526154538,0,0,0,0,0
"A0A087WW13",0,0,0,2.68113522981848,0,8.15519214930621
"A0A087WW22",5.60228683847711,0,0,0,0,0
