"","PA_sonic_1","PA_sonic_2","PA_sonic_3","PA_triflic_1","PA_triflic_2","PA_triflic_3"
"E1JGJ8",4.59803177416106,1.7747149747861,0,0,0,0
"G3XCT6",24.3038822348513,10.6482898487166,7.92746089757394,17.4544670732874,32.6707079925256,16.987507358684
"G3XCT7",0,0,0,0,4.66724399893222,0
"G3XCU6",15.7646803685522,11.5356473361096,6.60621741464495,32.2236315199153,19.6024247955153,21.7062594027629
"G3XCU7",0,0,0,0,1.86689759957289,5.66250245289467
"G3XCV0",23.6470205528283,23.9586521596123,22.4611392097928,21.4824210132769,15.8686295963696,21.7062594027629
"G3XCV4",3.94117009213805,4.43678743696524,0,5.37060525331921,6.53414159850511,3.77500163526312
"G3XCV5",2.62744672809203,0,0,4.02795393998941,2.80034639935933,2.83125122644734
"G3XCW5",0,0,0,0,0,7.55000327052623
"G3XCW7",0,0,0,2.68530262665961,4.66724399893222,1.88750081763156
"G3XCW8",0,0,0,6.71325656664902,32.6707079925256,4.71875204407889
"G3XCX1",5.91175513820707,0,0,6.71325656664902,20.5358735953018,8.49375367934201
"G3XCX2",9.19606354832212,0,11.8911913463609,0,0,2.83125122644734
"G3XCX3",1.31372336404602,1.7747149747861,0,0,0,0
"G3XCX5",4.59803177416106,3.54942994957219,2.64248696585798,0,1.86689759957289,2.83125122644734
"G3XCY2",0,0,0,0,0,2.83125122644734
"G3XCZ3",1.97058504606902,0,0,0,0,0
"G3XCZ4",1.97058504606902,0,5.28497393171596,0,0,0
"G3XCZ6",10.5097869123681,5.32414492435829,6.60621741464495,2.68530262665961,2.80034639935933,6.60625286171045
"G3XD01",0,0,2.64248696585798,0,0,2.83125122644734
"G3XD04",1.31372336404602,11.5356473361096,0,6.71325656664902,4.66724399893222,4.71875204407889
"G3XD09",0,4.43678743696524,3.96373044878697,0,0,0
"G3XD11",0,0,0,16.1118157599576,2.80034639935933,12.2687553146051
"G3XD12",5.25489345618407,6.21150241175134,0,0,0,5.66250245289467
"G3XD13",0,0,2.64248696585798,0,0,2.83125122644734
"G3XD14",18.3921270966442,20.4092222100401,3.96373044878697,8.05590787997882,22.4027711948747,13.2125057234209
"G3XD16",19.7058504606902,13.3103623108957,13.2124348292899,24.1677236399365,17.7355271959425,12.2687553146051
"G3XD17",1.31372336404602,0,2.64248696585798,0,0,0
"G3XD18",0,0,0,22.8250723266067,8.401039198078,0
"G3XD19",0,0,0,4.02795393998941,1.86689759957289,1.88750081763156
"G3XD20",30.8724990550814,30.1701545713636,44.9222784195857,55.0487038465219,64.4079671852647,39.6375171702627
"G3XD23",30.8724990550814,32.8322270335428,13.2124348292899,8.05590787997882,9.33448799786445,10.3812544969736
"G3XD24",3.28430841011504,0,2.64248696585798,14.7691644466278,9.33448799786445,8.49375367934201
"G3XD27",0,7.09885989914439,3.96373044878697,9.39855919330862,0,0
"G3XD31",0,0,0,8.05590787997882,0,4.71875204407889
"G3XD32",0,0,0,4.02795393998941,0,0
"G3XD35",1.97058504606902,0,0,2.68530262665961,12.1348343972238,0
"G3XD36",9.19606354832212,5.32414492435829,9.24870438050293,21.4824210132769,19.6024247955153,16.0437569498682
"G3XD39",7.8823401842761,22.1839371848262,29.0673566244378,106.069453753054,54.1400303876138,43.4125188055258
"G3XD40",17.7352654146212,13.3103623108957,11.8911913463609,9.39855919330862,5.60069279871867,11.3250049057893
"G3XD47",20.3627121427133,16.8597922604679,194.222791990562,6.71325656664902,7.46759039829156,17.9312577674998
"G3XD48",0,0,5.28497393171596,0,0,0
"G3XD52",10.5097869123681,4.43678743696524,6.60621741464495,6.71325656664902,4.66724399893222,1.88750081763156
"G3XD58",0,0,0,0,0,2.83125122644734
"G3XD61",12.4803719584372,7.09885989914439,39.6373044878697,10.7412105066384,58.807274386546,20.7625089939471
"G3XD63",0,5.32414492435829,0,0,1.86689759957289,0
"G3XD64",2.62744672809203,2.66207246217914,0,0,7.46759039829156,6.60625286171045
"G3XD67",3.28430841011504,0,0,0,0,0
"G3XD70",11.1666485943911,15.0850772856818,0,10.7412105066384,7.46759039829156,2.83125122644734
"G3XD71",1.97058504606902,0,0,0,0,0
"G3XD72",0,0,7.92746089757394,9.39855919330862,4.66724399893222,4.71875204407889
"G3XD73",0,0,0,0,0,2.83125122644734
"G3XD74",5.91175513820707,15.9724347730749,3.96373044878697,18.7971183866172,11.2013855974373,29.2562626732891
"G3XD76",28.2450523269894,0,7.92746089757394,5.37060525331921,5.60069279871867,12.2687553146051
"G3XD85",2.62744672809203,0,3.96373044878697,0,11.2013855974373,0
"G3XD87",1.97058504606902,2.66207246217914,3.96373044878697,9.39855919330862,15.8686295963696,8.49375367934201
"G3XD89",0,1.7747149747861,0,46.9927959665431,67.208313584624,52.8500228936836
"G3XD90",0,2.66207246217914,0,0,0,0
"G3XD94",71.5979233405079,65.6644540670856,63.4196871805915,83.2443814264478,65.3414159850511,42.46876839671
"G3XD97",0,7.98621738653743,0,20.1397696999471,7.46759039829156,0
"G3XD98",0,0,0,0,1.86689759957289,3.77500163526312
"G3XDA2",7.22547850225309,10.6482898487166,5.28497393171596,0,4.66724399893222,0
"G3XDA3",0,0,0,4.02795393998941,0,3.77500163526312
"G3XDA5",0,0,0,9.39855919330862,6.53414159850511,11.3250049057893
"G3XDA8",13.7940953224832,38.1563719579011,13.2124348292899,4.02795393998941,20.5358735953018,8.49375367934201
"G3XDB0",7.8823401842761,0,7.92746089757394,0,4.66724399893222,4.71875204407889
"G3XDB2",1.97058504606902,0,2.64248696585798,0,0,0
"O30508",40.7254242854265,92.285178688877,46.2435219025147,20.1397696999471,45.7389911895358,50.0187716672363
"O33407",0,0,0,0,6.53414159850511,1.88750081763156
"O33877",3.94117009213805,0,3.96373044878697,4.02795393998941,3.73379519914578,4.71875204407889
"O50174",14.4509570045062,1.7747149747861,13.2124348292899,4.02795393998941,13.0682831970102,11.3250049057893
"O50175",13.1372336404602,5.32414492435829,9.24870438050293,0,1.86689759957289,2.83125122644734
"O50177",9.85292523034512,2.66207246217914,0,0,27.0700151938069,6.60625286171045
"O50273",0,0,0,0,0,2.83125122644734
"O52759",103.784145759635,39.0437294452941,93.8082872879583,150.376947092938,73.7424551831291,94.3750408815779
"O52760",42.6960093314955,37.269014470508,51.5284958342306,87.2723353664372,63.4745183854782,145.33756295763
"O52761",20.3627121427133,9.76093236132353,19.8186522439349,16.1118157599576,56.9403767869731,42.46876839671
"O52762",97.2155289394052,126.892120697206,187.616574575917,108.754756379714,110.1469583748,149.112564592893
"O54438",0,0,10.5699478634319,2.68530262665961,2.80034639935933,7.55000327052623
"O54439",7.22547850225309,4.43678743696524,67.3834176293785,48.3354472798729,8.401039198078,21.7062594027629
"O68282",2.62744672809203,3.54942994957219,0,2.68530262665961,1.86689759957289,0
"O68283",3.94117009213805,3.54942994957219,0,0,0,0
"O68562",5.25489345618407,1.7747149747861,2.64248696585798,4.02795393998941,12.1348343972238,12.2687553146051
"O68822",8.53920186629911,7.09885989914439,6.60621741464495,55.0487038465219,36.4045031916713,31.1437634909207
"O68823",0,2.66207246217914,0,0,0,0
"O69077",13.1372336404602,15.9724347730749,13.2124348292899,4.02795393998941,11.2013855974373,3.77500163526312
"O69078",7.22547850225309,3.54942994957219,23.7823826927218,48.3354472798729,4.66724399893222,21.7062594027629
"O69753",60.4312747461168,61.2276666301203,11.8911913463609,4.02795393998941,9.33448799786445,16.0437569498682
