,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,name
H3BR70,226.09501460109797,-3.7995005220852,0.69926919027321,-5.4335305701094905,5.52498130563236e-08,0.000121715338163081,Pyruvate kinase OS=Homo sapiens GN=PKM PE=1 SV=1 
B4DNK4,286.158424092992,-3.43916346933626,0.691374569534216,-4.974385262178861,6.54550186902234e-07,0.000720987030872811,Pyruvate kinase OS=Homo sapiens GN=PKM PE=1 SV=1 
Q9UII2,24.407240061071402,-7.667422128159799,1.59049249738495,-4.82078484542768,1.42994517035091e-06,0.00105005640342768,"ATPase inhibitor, mitochondrial OS=Homo sapiens GN=ATPIF1 PE=1 SV=1 "
M0QY96,24.489906085394697,5.146161367001151,1.1247024235563101,4.57557595610846,4.74911618605785e-06,0.00261557573947136,Heterogeneous nuclear ribonucleoprotein M (Fragment) OS=Homo sapiens GN=HNRNPM PE=1 SV=1 
M0R2I7,25.2579714576269,4.2621553878587,0.964186724563178,4.42046678229225,9.84879250262767e-06,0.00433937797665775,Heterogeneous nuclear ribonucleoprotein M (Fragment) OS=Homo sapiens GN=HNRNPM PE=1 SV=1 
M0R042,64.7932591063266,-4.36391953207019,0.9966793698551608,-4.37845877426395,1.19521543949987e-05,0.004388432688697021,Tubulin beta-4A chain (Fragment) OS=Homo sapiens GN=TUBB4A PE=1 SV=1 
C9J386,28.9729195782758,4.2128893688392095,1.03583660749427,4.06713697735626,4.7594269593906605e-05,0.0144699861052809,Histone H2A OS=Homo sapiens GN=H2AFV PE=3 SV=1 
P68431,199.507235928558,-3.0488792195321803,0.753926244726247,-4.04400197082838,5.25464770051055e-05,0.0144699861052809,Histone H3.1 OS=Homo sapiens GN=HIST1H3A PE=1 SV=2 
P14618,323.41240657568403,-2.61786069091109,0.65506966478591,-3.9963088380327703,6.43377890793839e-05,0.015748461037987,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4 
P13929,103.10973660084,-3.30941346109394,0.8537131794829151,-3.87649334768196,0.000105972705909664,0.023345787111898997,Beta-enolase OS=Homo sapiens GN=ENO3 PE=1 SV=5 
H3BTN5,233.480291814063,-2.50250428235011,0.653590582416597,-3.82885609076145,0.000128740255880791,0.0236345653087818,Pyruvate kinase (Fragment) OS=Homo sapiens GN=PKM PE=1 SV=1 
M0QZM1,33.3028738983161,3.0468202895112504,0.795282490685263,3.83111702470141,0.00012756281151603502,0.0236345653087818,Heterogeneous nuclear ribonucleoprotein M (Fragment) OS=Homo sapiens GN=HNRNPM PE=1 SV=1 
B1AHB2,6.73912775751973,6.62629465651263,1.75185160387634,3.7824520306689,0.00015529102638683502,0.0244361522235855,DNA replication licensing factor MCM5 (Fragment) OS=Homo sapiens GN=MCM5 PE=1 SV=1 
F5H0C8,100.677657774485,-3.2233137502427898,0.850514156504076,-3.78984138664051,0.000150743509261798,0.0244361522235855,Enolase OS=Homo sapiens GN=ENO2 PE=1 SV=1 
E9PP50,76.2928902393691,-3.2415119353323596,0.89120365569297,-3.63722917273254,0.000275586715298474,0.0388082611952459,Cofilin-1 (Fragment) OS=Homo sapiens GN=CFL1 PE=1 SV=6 
P09104,111.741830107723,-2.8893244578666497,0.7956442043052041,-3.63142776913677,0.000281857548399425,0.0388082611952459,Gamma-enolase OS=Homo sapiens GN=ENO2 PE=1 SV=3 
M0QYM7,69.1823345381971,-3.50491656574014,0.98695764783704,-3.55123299710106,0.00038343081444205696,0.0496881226009324,Tubulin beta-4A chain (Fragment) OS=Homo sapiens GN=TUBB4A PE=1 SV=6 
E9PK25,77.413911684319,-3.10087548358792,0.896679916423247,-3.45817434604419,0.000543849316952829,0.0545767410525447,Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3 
E9PQB7,73.0627485987639,-3.17249353468862,0.9162287431140971,-3.4625562213928,0.000535070114627846,0.0545767410525447,Cofilin-1 (Fragment) OS=Homo sapiens GN=CFL1 PE=1 SV=1 
G3V1A4,77.2991328582026,-3.0984797708253105,0.89660538320351,-3.45578983672243,0.0005486829448284321,0.0545767410525447,
H3BQ34,143.88670185460398,-2.03849605562554,0.593391486551755,-3.4353308091280494,0.000591830889698438,0.0545767410525447,Pyruvate kinase OS=Homo sapiens GN=PKM PE=1 SV=1 
H7BY16,30.3401033363038,-4.1172323533033595,1.19893365343717,-3.4340785593096204,0.000594571849868849,0.0545767410525447,Nucleolin (Fragment) OS=Homo sapiens GN=NCL PE=1 SV=6 
P23528,77.413911684319,-3.10087548358792,0.896679916423247,-3.45817434604419,0.000543849316952829,0.0545767410525447,
Q02750,7.87815984341673,-6.02651774444751,1.75021604884395,-3.4432993277762205,0.000574662890901754,0.0545767410525447,Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens GN=MAP2K1 PE=1 SV=2 
B1AHA9,5.3972133607226205,6.306801871045169,1.8536275016232902,3.40241060597239,0.0006679420264577469,0.0549198961516736,DNA replication licensing factor MCM5 (Fragment) OS=Homo sapiens GN=MCM5 PE=1 SV=6 
F8W646,99.5423417251927,-2.44891504136571,0.7215706957856791,-3.39386709530827,0.0006891312809122731,0.0549198961516736,Heterogeneous nuclear ribonucleoprotein A1 (Fragment) OS=Homo sapiens GN=HNRNPA1 PE=1 SV=1 
Q13011,7.160609109556,-5.89298775066311,1.73469728235165,-3.39712744731706,0.000680972433602907,0.0549198961516736,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2 "
Q9Y281,62.755162176372096,-3.5190049300970094,1.03794669324399,-3.3903522724261896,0.000698028639240517,0.0549198961516736,Cofilin-2 OS=Homo sapiens GN=CFL2 PE=1 SV=1 
A0A087X0X3,52.6185839833311,2.6291796647323302,0.784050742367381,3.35332845523967,0.000798458918866462,0.0595223886049601,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=1 
E9PAP0,5.17378542490441,6.24595858003311,1.87001007943288,3.34006679895935,0.00083758240887597,0.0595223886049601,
E9PJ92,5.17378542490441,6.24595858003311,1.87001007943288,3.34006679895935,0.00083758240887597,0.0595223886049601,Tyrosine-protein kinase Lck (Fragment) OS=Homo sapiens GN=LCK PE=1 SV=1 
J3QRH4,5.356657658084361,6.300701839147759,1.89471072585922,3.3254162512277503,0.000882866192946944,0.0603765753167793,Cytosolic non-specific dipeptidase (Fragment) OS=Homo sapiens GN=CNDP2 PE=1 SV=1 
P52272,52.7333628094475,2.6068490391994,0.78550599415413,3.31868764668891,0.0009044153361115381,0.0603765753167793,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens GN=HNRNPM PE=1 SV=3 
F5GYD4,67.90279552498009,-2.7784248537166296,0.856907798335481,-3.2423848389682504,0.00118533842442147,0.0768029573235439,Adenosine deaminase OS=Homo sapiens GN=ADA PE=1 SV=1 
G3V2H3,6.2635536515588095,-5.70104319033112,1.77098402637273,-3.21913868529227,0.00128576283554186,0.0809295864771062,Purine nucleoside phosphorylase (Fragment) OS=Homo sapiens GN=PNP PE=1 SV=1 
P49773,43.844920413981804,-2.8428406842892198,0.8856767136880301,-3.20979499669964,0.00132829669442569,0.0812843782727723,Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2 
E5RI98,25.790367489179502,3.3165357557337405,1.04850249092121,3.16311671593629,0.0015608973866523199,0.0888715595923244,Nucleophosmin (Fragment) OS=Homo sapiens GN=NPM1 PE=1 SV=1 
F8VZ49,130.21046199812702,-2.15589674383807,0.680073420737867,-3.17009410763174,0.0015238957374144,0.0888715595923244,Heterogeneous nuclear ribonucleoprotein A1 (Fragment) OS=Homo sapiens GN=HNRNPA1 PE=1 SV=1 
F8W6I7,133.015322430928,-2.08114715303765,0.6652936067876489,-3.1281634631759196,0.0017590232315712198,0.0888715595923244,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=2 
O75494,4.79808873196219,6.1310945243016794,1.9606219861598502,3.12711709221944,0.00176529604783903,0.0888715595923244,Serine/arginine-rich splicing factor 10 OS=Homo sapiens GN=SRSF10 PE=1 SV=1 
P00492,4.73890195268214,6.1143079273962595,1.9393531631000802,3.15275631263697,0.00161736762278634,0.0888715595923244,Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens GN=HPRT1 PE=1 SV=2 
P09651,132.911576378363,-2.0797514096783503,0.665413280112428,-3.12550331025398,0.0017750107226792,0.0888715595923244,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5 
Q5JRI1,4.79808873196219,6.1310945243016794,1.9606219861598502,3.12711709221944,0.00176529604783903,0.0888715595923244,
Q9NR30,4.57698004834191,6.067842594332009,1.92222763531077,3.15667222906771,0.00159580615193939,0.0888715595923244,Nucleolar RNA helicase 2 OS=Homo sapiens GN=DDX21 PE=1 SV=5 
Q99729,15.9975999434008,-4.06259494102041,1.30593731624489,-3.11086519275064,0.00186540077367723,0.0913217312091319,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=2 
F8VYN5,80.658019584514,-2.38213646810295,0.7702931401462629,-3.09250640301773,0.0019847395195233698,0.09505176438065199,Heterogeneous nuclear ribonucleoprotein A1 (Fragment) OS=Homo sapiens GN=HNRNPA1 PE=1 SV=1 
P60709,678.800192202734,-2.2223281240072996,0.723058612228898,-3.07351034400483,0.00211556353382498,0.0951140094901313,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1 "
P63261,678.606020961084,-2.22467225340372,0.7229433524554101,-3.07724283769651,0.0020892502260952397,0.0951140094901313,"Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1 "
Q6S8J3,472.697858313101,-2.9249890499704096,0.951206937826749,-3.07502913787953,0.0021048198929293303,0.0951140094901313,POTE ankyrin domain family member E OS=Homo sapiens GN=POTEE PE=1 SV=3 
A6NHK2,5.79398592066342,-5.5850754894045,1.83989776802329,-3.03553577077539,0.00240108739964702,0.0961744643894979,Small nuclear ribonucleoprotein E OS=Homo sapiens GN=SNRPE PE=1 SV=1 
B7Z4K9,19.1575369283408,-3.96690630552374,1.30549029017531,-3.0386333283191496,0.00237653916740017,0.0961744643894979,Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1 
C9JCA9,4.35287872157977,5.99570215385576,1.96308081183395,3.0542309403220402,0.00225638311720991,0.0961744643894979,
H0Y488,5.70638358131483,-5.5677249862899805,1.8311968458697399,-3.04048415048769,0.00236198122967565,0.0961744643894979,
O14497,5.70638358131483,-5.5677249862899805,1.8311968458697399,-3.04048415048769,0.00236198122967565,0.0961744643894979,AT-rich interactive domain-containing protein 1A OS=Homo sapiens GN=ARID1A PE=1 SV=3 
Q6IQ42,4.559695753587991,6.0577166103464295,1.9810314333562198,3.0578599149654,0.00222923760285864,0.0961744643894979,FUSIP1 protein OS=Homo sapiens GN=FUSIP1 PE=1 SV=1 
A0A087WZV1,16.3859424267011,-3.5203192261730702,1.1858940308605601,-2.96849392489015,0.00299263017810526,0.0969445852995523,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB PE=1 SV=1 
A0A087X1I3,11.558231130218502,-4.14607830479612,1.39879803723995,-2.96402925541487,0.00303639418323609,0.0969445852995523,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens GN=SDHA PE=1 SV=1 "
A0A0A0MRP6,4.2321859108217295,5.95264985392318,2.0002101539115102,2.97601221665758,0.00292023228684641,0.0969445852995523,
B1AHB1,9.85634195656641,3.7581562008416403,1.25629692540697,2.99145538354653,0.00277651107530952,0.0969445852995523,DNA helicase OS=Homo sapiens GN=MCM5 PE=1 SV=1 
B7ZLQ5,4.2321859108217295,5.95264985392318,2.0002101539115102,2.97601221665758,0.00292023228684641,0.0969445852995523,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Homo sapiens GN=SMARCA5 PE=1 SV=1 
D6R9P3,16.3859424267011,-3.5203192261730702,1.1858940308605601,-2.96849392489015,0.00299263017810526,0.0969445852995523,
D6RBZ0,16.3859424267011,-3.5203192261730702,1.1858940308605601,-2.96849392489015,0.00299263017810526,0.0969445852995523,
D6RD18,16.3859424267011,-3.5203192261730702,1.1858940308605601,-2.96849392489015,0.00299263017810526,0.0969445852995523,
K7EL50,27.810468390949303,-3.24434666637231,1.09440518849137,-2.96448399595456,0.00303191013143823,0.0969445852995523,Calreticulin (Fragment) OS=Homo sapiens GN=CALR PE=1 SV=1 
K7EM20,26.234207161100997,-2.6691328001026897,0.8823278655574399,-3.0251031439615397,0.00248548349332687,0.0969445852995523,14-3-3 protein epsilon (Fragment) OS=Homo sapiens GN=YWHAE PE=1 SV=1 
P19338,40.5305719255853,-2.8440973085213397,0.9471314944986841,-3.00285369564943,0.00267460976930947,0.0969445852995523,Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3 
P28370,4.2321859108217295,5.95264985392318,2.0002101539115102,2.97601221665758,0.00292023228684641,0.0969445852995523,
