,go,go_name,name,q
C0H3V2,GO:0005737;GO:0005737;GO:0071944;GO:0016020,cytoplasm;cytoplasm;cell periphery;membrane,Mannitol-specific phosphotransferase enzyme IIA component OS=Bacillus subtilis (strain 168) GN=mtlF PE=1 SV=1 ,4
C0H3Y1,,,Uncharacterized protein YhzD OS=Bacillus subtilis (strain 168) GN=yhzD PE=4 SV=1 ,4
C0SP85,GO:0005575;GO:0005575,cellular_component;cellular_component,Protein YukE OS=Bacillus subtilis (strain 168) GN=yukE PE=1 SV=1 ,39
C0SP86,GO:0005737;GO:0005737,cytoplasm;cytoplasm,DNA translocase SftA OS=Bacillus subtilis (strain 168) GN=sftA PE=1 SV=1 ,7
C0SP93,GO:0005737;GO:0005737;GO:0005737,cytoplasm;cytoplasm;cytoplasm,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Bacillus subtilis (strain 168) GN=accD PE=1 SV=1 ,32
C0SP94,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0071944;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane;cell periphery;membrane,Putative ABC transporter substrate-binding lipoprotein YhfQ OS=Bacillus subtilis (strain 168) GN=yhfQ PE=1 SV=1 ,10
C0SP95,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0016020;GO:0016020;GO:0005623,cell periphery;membrane;cell periphery;membrane;membrane;membrane;membrane;cell,Copper transport protein YcnJ OS=Bacillus subtilis (strain 168) GN=ycnJ PE=1 SV=1 ,3
C0SPA7,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane;membrane,ESX secretion system protein YukB OS=Bacillus subtilis (strain 168) GN=yukB PE=3 SV=1 ,8
C0SPB0,,,Uncharacterized acyl--CoA ligase YtcI OS=Bacillus subtilis (strain 168) GN=ytcI PE=3 SV=1 ,11
C0SPB1,,,Uncharacterized protein YukJ OS=Bacillus subtilis (strain 168) GN=yukJ PE=4 SV=1 ,3
C0SPB4,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane,Uncharacterized ABC transporter ATP-binding protein YhaQ OS=Bacillus subtilis (strain 168) GN=yhaQ PE=3 SV=1 ,6
O05239,,,Probable NADH-dependent butanol dehydrogenase 1 OS=Bacillus subtilis (strain 168) GN=yugJ PE=3 SV=1 ,7
O05240,,,Probable NADH-dependent butanol dehydrogenase 2 OS=Bacillus subtilis (strain 168) GN=yugK PE=3 SV=1 ,3
O05243,,,UPF0047 protein YugU OS=Bacillus subtilis (strain 168) GN=yugU PE=3 SV=2 ,3
O05265,,,Uncharacterized oxidoreductase YulF OS=Bacillus subtilis (strain 168) GN=yulF PE=3 SV=2 ,6
O05268,,,Ferredoxin--NADP reductase 2 OS=Bacillus subtilis (strain 168) GN=yumC PE=1 SV=2 ,40
O05272,,,Asparagine synthetase [glutamine-hydrolyzing] 3 OS=Bacillus subtilis (strain 168) GN=asnO PE=1 SV=3 ,2
O05389,,,Uncharacterized oxidoreductase YrbE OS=Bacillus subtilis (strain 168) GN=yrbE PE=3 SV=2 ,23
O05392,GO:0005623,cell,Holliday junction ATP-dependent DNA helicase RuvA OS=Bacillus subtilis (strain 168) GN=ruvA PE=3 SV=2 ,4
O05394,,,Cystathionine gamma-lyase OS=Bacillus subtilis (strain 168) GN=mccB PE=1 SV=1 ,5
O05398,,,Uncharacterized protein YrhF OS=Bacillus subtilis (strain 168) GN=yrhF PE=4 SV=1 ,2
O05494,,,Uncharacterized HTH-type transcriptional regulator YdhC OS=Bacillus subtilis (strain 168) GN=ydhC PE=4 SV=1 ,2
O05496,GO:0043226;GO:0005623,organelle;cell,Uncharacterized UDP-glucosyltransferase YdhE OS=Bacillus subtilis (strain 168) GN=ydhE PE=3 SV=2 ,33
O05508,GO:0005737,cytoplasm,6-phospho-beta-glucosidase GmuD OS=Bacillus subtilis (strain 168) GN=gmuD PE=1 SV=1 ,8
O05516,GO:0005737;GO:0005737;GO:0005623,cytoplasm;cytoplasm;cell,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB OS=Bacillus subtilis (strain 168) GN=tsaB PE=1 SV=1 ,3
O05519,,,Uncharacterized ABC transporter ATP-binding protein YdiF OS=Bacillus subtilis (strain 168) GN=ydiF PE=3 SV=2 ,9
O05521,GO:0005737;GO:0005737;GO:0005737,cytoplasm;cytoplasm;cytoplasm,Redox-sensing transcriptional repressor Rex OS=Bacillus subtilis (strain 168) GN=rex PE=1 SV=1 ,14
O06006,,,Putative cysteine protease YraA OS=Bacillus subtilis (strain 168) GN=yraA PE=2 SV=2 ,20
O06476,,,Uncharacterized ABC transporter ATP-binding protein YfmR OS=Bacillus subtilis (strain 168) GN=yfmR PE=3 SV=1 ,2
O06477,GO:0016020,membrane,Putative sensory transducer protein YfmS OS=Bacillus subtilis (strain 168) GN=yfmS PE=2 SV=1 ,12
O06478,,,Putative aldehyde dehydrogenase YfmT OS=Bacillus subtilis (strain 168) GN=yfmT PE=2 SV=1 ,42
O06490,,,Uncharacterized protein YetN OS=Bacillus subtilis (strain 168) GN=yetN PE=4 SV=1 ,2
O06491,GO:0005623,cell,Glutamyl-tRNA(Gln) amidotransferase subunit A OS=Bacillus subtilis (strain 168) GN=gatA PE=3 SV=3 ,127
O06492,,,Glutamyl-tRNA(Gln) amidotransferase subunit C OS=Bacillus subtilis (strain 168) GN=gatC PE=3 SV=3 ,18
O06714,,,Nuclease SbcCD subunit C OS=Bacillus subtilis (strain 168) GN=sbcC PE=3 SV=3 ,7
O06724,,,Uncharacterized protein YisK OS=Bacillus subtilis (strain 168) GN=yisK PE=2 SV=1 ,15
O06747,,,Uncharacterized protein YitL OS=Bacillus subtilis (strain 168) GN=yitL PE=4 SV=2 ,3
O06965,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane,Putative lipoprotein YvcA OS=Bacillus subtilis (strain 168) GN=yvcA PE=2 SV=2 ,4
O06967,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane;membrane;membrane,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA OS=Bacillus subtilis (strain 168) GN=bmrA PE=1 SV=1 ,2
O06972,,,Uncharacterized Nudix hydrolase YvcI OS=Bacillus subtilis (strain 168) GN=yvcI PE=3 SV=1 ,35
O06973,,,Nucleotide-binding protein YvcJ OS=Bacillus subtilis (strain 168) GN=yvcJ PE=1 SV=1 ,85
O06974,GO:0005737;GO:0005737,cytoplasm;cytoplasm,Gluconeogenesis factor OS=Bacillus subtilis (strain 168) GN=mgfK PE=3 SV=1 ,11
O06975,,,Putative sporulation transcription regulator WhiA OS=Bacillus subtilis (strain 168) GN=whiA PE=3 SV=1 ,7
O06986,,,LOG family protein YvdD OS=Bacillus subtilis (strain 168) GN=yvdD PE=1 SV=1 ,5
O07012,GO:0005575,cellular_component,Beta-galactosidase GanA OS=Bacillus subtilis (strain 168) GN=ganA PE=1 SV=2 ,4
O07015,,,Sigma factor SigB regulation protein RsbQ OS=Bacillus subtilis (strain 168) GN=rsbQ PE=1 SV=1 ,11
O07020,,,Lactate utilization protein A OS=Bacillus subtilis (strain 168) GN=lutA PE=1 SV=1 ,22
O07021,,,Lactate utilization protein B OS=Bacillus subtilis (strain 168) GN=lutB PE=1 SV=2 ,94
O07079,,,Uncharacterized protein YrdA OS=Bacillus subtilis (strain 168) GN=yrdA PE=3 SV=1 ,2
O07081,,,Uncharacterized isochorismatase family protein YrdC OS=Bacillus subtilis (strain 168) GN=yrdC PE=3 SV=1 ,11
O07513,,,Protein hit OS=Bacillus subtilis (strain 168) GN=hit PE=1 SV=1 ,19
O07516,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane;membrane,Uncharacterized membrane protein YhaH OS=Bacillus subtilis (strain 168) GN=yhaH PE=4 SV=1 ,6
O07521,,,3'-5' exoribonuclease YhaM OS=Bacillus subtilis (strain 168) GN=yhaM PE=1 SV=1 ,26
O07527,GO:0005623;GO:0016020,cell;membrane,Sensor histidine kinase YhcY OS=Bacillus subtilis (strain 168) GN=yhcY PE=3 SV=1 ,2
O07529,GO:0005737,cytoplasm,FMN-dependent NADPH-azoreductase OS=Bacillus subtilis (strain 168) GN=azr PE=1 SV=1 ,3
O07532,GO:0005575;GO:0071944;GO:0071944,cellular_component;cell periphery;cell periphery,Peptidoglycan endopeptidase LytF OS=Bacillus subtilis (strain 168) GN=lytF PE=1 SV=2 ,2
O07542,,,UPF0342 protein YheA OS=Bacillus subtilis (strain 168) GN=yheA PE=1 SV=1 ,11
O07543,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane;membrane,UPF0754 membrane protein YheB OS=Bacillus subtilis (strain 168) GN=yheB PE=3 SV=1 ,4
O07561,,,Uncharacterized aromatic compound monooxygenase YhjG OS=Bacillus subtilis (strain 168) GN=yhjG PE=3 SV=1 ,2
O07573,,,HTH-type transcriptional regulator NsrR OS=Bacillus subtilis (strain 168) GN=nsrR PE=4 SV=1 ,7
O07581,GO:0016020;GO:0016020;GO:0016020,membrane;membrane;membrane,Probable anti-sigma-M factor YhdL OS=Bacillus subtilis (strain 168) GN=yhdL PE=1 SV=1 ,7
O07585,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane;membrane,UPF0053 protein YhdP OS=Bacillus subtilis (strain 168) GN=yhdP PE=3 SV=1 ,4
O07587,GO:0005737;GO:0005737,cytoplasm;cytoplasm,Putative aspartate aminotransferase YhdR OS=Bacillus subtilis (strain 168) GN=yhdR PE=3 SV=1 ,4
O07595,GO:0005737;GO:0005737,cytoplasm;cytoplasm,NAD-dependent protein deacetylase OS=Bacillus subtilis (strain 168) GN=cobB PE=3 SV=1 ,2
O07597,,,D-alanine aminotransferase OS=Bacillus subtilis (strain 168) GN=dat PE=3 SV=1 ,7
O07598,,,Putative amidohydrolase YhaA OS=Bacillus subtilis (strain 168) GN=yhaA PE=3 SV=3 ,2
O07603,,,Putative aminopeptidase YhfE OS=Bacillus subtilis (strain 168) GN=yhfE PE=3 SV=1 ,25
O07607,,,Probable metallo-hydrolase YhfI OS=Bacillus subtilis (strain 168) GN=yhfI PE=3 SV=1 ,9
O07608,GO:0005737;GO:0005737,cytoplasm;cytoplasm,Lipoate-protein ligase LplJ OS=Bacillus subtilis (strain 168) GN=lplJ PE=1 SV=1 ,70
O07609,GO:0005623,cell,Uncharacterized sugar epimerase YhfK OS=Bacillus subtilis (strain 168) GN=yhfK PE=2 SV=1 ,52
O07617,,,Uncharacterized phosphatase PhoE OS=Bacillus subtilis (strain 168) GN=phoE PE=3 SV=1 ,6
O07618,,,Putative acetyl-CoA C-acetyltransferase YhfS OS=Bacillus subtilis (strain 168) GN=yhfS PE=2 SV=1 ,2
O07621,GO:0005575;GO:0016020,cellular_component;membrane,Heme-based aerotactic transducer HemAT OS=Bacillus subtilis (strain 168) GN=hemAT PE=1 SV=1 ,8
O07624,,,Uncharacterized beta-barrel protein YwiB OS=Bacillus subtilis (strain 168) GN=ywiB PE=1 SV=1 ,6
O07631,,,GTP-binding protein TypA/BipA homolog OS=Bacillus subtilis (strain 168) GN=typA PE=3 SV=1 ,105
O07636,,,Uncharacterized protein YlaL OS=Bacillus subtilis (strain 168) GN=ylaL PE=4 SV=1 ,2
O08336,GO:0005737;GO:0005737,cytoplasm;cytoplasm,Bifunctional cytochrome P450/NADPH--P450 reductase 2 OS=Bacillus subtilis (strain 168) GN=cypB PE=1 SV=1 ,7
O30509,,,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B OS=Bacillus subtilis (strain 168) GN=gatB PE=1 SV=2 ,37
O30601,GO:0005737,cytoplasm,SPBc2 prophage-derived ribonucleoside-diphosphate reductase subunit beta OS=Bacillus subtilis (strain 168) GN=yosP PE=3 SV=1 ,4
O31404,,,"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha OS=Bacillus subtilis (strain 168) GN=acoA PE=2 SV=2 ",25
O31418,GO:0005737;GO:0005737,cytoplasm;cytoplasm,Mini-ribonuclease 3 OS=Bacillus subtilis (strain 168) GN=mrnC PE=1 SV=1 ,3
O31422,GO:0005575;GO:0005575,cellular_component;cellular_component,Sporulation killing factor OS=Bacillus subtilis (strain 168) GN=skfA PE=1 SV=1 ,3
O31454,,,Uncharacterized protein YbfN OS=Bacillus subtilis (strain 168) GN=ybfN PE=4 SV=1 ,2
O31455,,,Putative hydrolase YbfO OS=Bacillus subtilis (strain 168) GN=ybfO PE=3 SV=1 ,4
O31456,,,Uncharacterized HTH-type transcriptional regulator YbfP OS=Bacillus subtilis (strain 168) GN=ybfP PE=3 SV=1 ,2
O31457,,,UPF0176 protein YbfQ OS=Bacillus subtilis (strain 168) GN=ybfQ PE=3 SV=1 ,4
O31475,,,Ferredoxin--NADP reductase 1 OS=Bacillus subtilis (strain 168) GN=ycgT PE=3 SV=1 ,3
O31479,GO:0016020;GO:0016020;GO:0016020,membrane;membrane;membrane,Uncharacterized protein YczF OS=Bacillus subtilis (strain 168) GN=yczF PE=3 SV=1 ,7
