"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q9HWW1",556.096496915368,5.23347907682257,0.501977772155964,10.4257187611019,1.89223182936199e-25,2.2101267766948e-22
"P13794",546.292124932341,7.07993724129813,0.729996213340599,9.69859447475626,3.05680388214532e-22,1.78517346717287e-19
"Q9HVI2",301.44015350326,11.8037146042454,1.30852402493489,9.02063269708229,1.87006096025808e-19,7.28077067193813e-17
"Q9HUM0",147.195664447846,7.3880118782879,0.829919649452472,8.90208092212546,5.48092851749549e-19,1.60043112710868e-16
"Q9I4S1",49.5782169214167,6.48447258633928,0.975767125192976,6.64551245775662,3.02163901947769e-11,7.05854874949988e-09
"P32722",32.9191620165678,5.14478436088217,0.951054583303718,5.40955740206889,6.318069793458e-08,1.22991758645982e-05
"G3XD89",28.1376412366061,6.54355520820589,1.22144805359206,5.35721121251324,8.4516301168147e-08,1.23393799705495e-05
"Q9I0X7",36.8154682249974,6.14741624217226,1.14580337934827,5.36515806548668,8.08783602674033e-08,1.23393799705495e-05
"Q9HVK6",19.5280012947288,7.85501811703065,1.55491066919959,5.05174880629902,4.37783193525549e-07,5.68145300042046e-05
"Q9HVH7",14.5634324192221,7.42365461835409,1.52895809360813,4.85536827293631,1.20163212059332e-06,0.000140350631685299
"Q9I5X3",11.2273181093077,7.05623496235256,1.51392031770224,4.66090247937367,3.14825875530731e-06,0.000334287838745358
"Q9I0S3",16.062857243869,-7.3565419602397,1.59189119107398,-4.62125929302778,3.8141770058442e-06,0.000363178497424795
"Q9I4Z4",37.7774834786123,3.12477841413683,0.677943865937184,4.60919933218535,4.04222642681706e-06,0.000363178497424795
"Q9HU11",64.2834318206324,2.53950221829903,0.557050246793997,4.55883869168837,5.1437259206505e-06,0.000429133705379985
"Q9HWP8",19.6238257626003,4.31345947966714,0.965466777293548,4.46774511678059,7.90484110122905e-06,0.000615523627082369
"P25254",9.49673210293409,6.81862261166615,1.5617145349574,4.36611330626575,1.26476889369502e-05,0.000923281292397361
"O82851",228.254988080071,2.53126424760341,0.602339311743661,4.2023892484717,2.64112475167681e-05,0.00181460806468148
"Q51466",8.83942960387114,6.71873992432467,1.6206584695544,4.14568525728435,3.38798946583134e-05,0.00219842872005056
"Q9HU56",118.489780031521,2.95000822729865,0.721048101877456,4.09127798772017,4.29002517700908e-05,0.00241873345095173
"Q9HVY3",71.2982558134104,2.85958482785236,0.69948577288495,4.0881243603545,4.34875021147143e-05,0.00241873345095173
"Q9I402",51.3526247289252,-2.53080285611149,0.618044152123421,-4.09485770137358,4.22427757851834e-05,0.00241873345095173
"P04739",24.0647681120309,4.96812167868284,1.2383087195858,4.01202188121926,6.02009184932119e-05,0.00293037048576237
"Q9HZA6",7.90091924421855,6.54666080711466,1.62780862985114,4.02176317723131,5.77641198588693e-05,0.00293037048576237
"Q9I3G0",12.5370125379045,5.47278383159765,1.36411243277111,4.01197415998917,6.02130921731994e-05,0.00293037048576237
"Q9HWX5",33.0042144250336,3.05960768154907,0.789934907968724,3.87324025142362,0.000107397861489393,0.00501762808878446
"Q9HYR5",16.6835978137084,4.16823943401456,1.09226417813511,3.81614587153378,0.00013555238695489,0.00608943030628123
"Q9I5U2",13.3449792674027,4.62932925686928,1.22180591162726,3.78892360301622,0.000151301429610874,0.00654518776983335
"Q9HTX6",25.0422582998256,4.05594411123841,1.08956111795577,3.72254850544607,0.000197222005245718,0.00822697507596423
"G3XCW8",7.35045276720891,6.45207063718531,1.7506699761581,3.68548654232626,0.000228266144489002,0.0091936157504536
"P37799",44.224783549801,4.0312404512448,1.10018375305215,3.66415195649023,0.000248159430769251,0.0096616738379495
"Q9HTL9",39.0673639530078,3.28755502653091,0.909046659801842,3.61648655883906,0.000298628816729378,0.0102587781747033
"Q9I348",17.1251047932839,4.16532816273062,1.15022003082387,3.6213316157841,0.000293090540704447,0.0102587781747033
"Q9I3G3",6.61310979465156,6.28482579603816,1.73127003319634,3.63018227978847,0.000283221138026825,0.0102587781747033
"Q9I4T3",12.5067634968147,3.98039425028631,1.09934989496833,3.62068006601389,0.000293829672521738,0.0102587781747033
"P00282",397.927551798419,-1.59153169886203,0.44689197260563,-3.56133427410323,0.000368974972107656,0.0117490845450606
"Q9I1H5",49.2532079613562,2.12818857360279,0.595607797718685,3.57313752733634,0.000352729386881506,0.0117490845450606
"Q9I3D1",434.633141968174,1.65868741939804,0.466556148170917,3.55517213930359,0.000377731703534046,0.0117490845450606
"Q9S508",44.2494533256965,-2.1596730732061,0.608008144967586,-3.5520462860267,0.000382247613623547,0.0117490845450606
"Q7DC80",5.68271794099686,6.07227829468703,1.73501217385176,3.49984765882447,0.000465524119983641,0.0139418505677152
"Q51342",45.3927332571412,-1.98394845935518,0.581197227669373,-3.41355458165364,0.000641213130554403,0.0187234234121886
"O68822",24.1402082848671,2.44496698994467,0.718650041952547,3.40216634970448,0.000668539313891952,0.0190452175274585
"Q9I3D7",5.36432367817046,5.99972358582867,1.79905234441108,3.3349355311797,0.000853191769827079,0.0237268568370959
"P50598",9.46870526251231,4.72678322212417,1.42484805315335,3.31739458931307,0.000908611940277309,0.0246804359591604
"Q9HVJ1",127.33769129456,-1.73627235180355,0.528513738880664,-3.28519813975089,0.00101910677194157,0.0262068473267105
"Q9HVY5",5.03571705096325,5.90492939097552,1.80063213944715,3.27936465289824,0.00104041103318552,0.0262068473267105
"Q9HXJ7",5.20054112755964,5.94332328626843,1.81444928382677,3.27555216849801,0.00105455635646866,0.0262068473267105
"Q9I3B2",20.9322600833174,-2.60963392551942,0.793313884280779,-3.28953517293514,0.00100353013185003,0.0262068473267105
"Q9HU22",17.6269619918644,3.130231537829,0.95928284458384,3.26309550462874,0.00110202375461482,0.0266548745714765
"Q9HWM5",5.04668326243345,5.89928311211329,1.81017527715486,3.25895684609364,0.00111822675856365,0.0266548745714765
"Q9I762",19.843387897231,3.98375637310385,1.22687234597815,3.24708302877894,0.00116594370514805,0.0272364449522585
"Q9HW79",4.89454233214549,5.85429260322794,1.80613053314431,3.24134523822935,0.00118967010947803,0.0272457781935361
