,go,go_name,name,q
A0A024QZP7,,,Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=1 ,27
A0A024R216,GO:0043226;GO:0005623;GO:0043226;GO:0005623;GO:0005737;GO:0005737,organelle;cell;organelle;cell;cytoplasm;cytoplasm,"Hepatoma-derived growth factor, related protein 3, isoform CRA_a OS=Homo sapiens GN=HDGFRP3 PE=1 SV=1 ",6
A0A024R4M0,,,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=1 ,3
A0A024R571,,,EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=1 ,2
A0A024RA52,,,Proteasome subunit alpha type OS=Homo sapiens GN=PSMA2 PE=1 SV=1 ,3
A0A024RCR6,,,"HLA-B associated transcript 3, isoform CRA_a OS=Homo sapiens GN=BAT3 PE=1 SV=1 ",10
A0A075B736,,,Tubulin beta-8 chain OS=Homo sapiens GN=TUBB8 PE=1 SV=1 ,55
A0A075B7A0,,,60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=1 ,5
A0A087WSW9,,,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=1 ",7
A0A087WSY9,,,"Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=2 ",7
A0A087WSZ2,,,Alpha-actinin-3 OS=Homo sapiens GN=ACTN3 PE=1 SV=1 ,3
A0A087WTD5,,,Nodal modulator 2 OS=Homo sapiens GN=NOMO2 PE=4 SV=1 ,5
A0A087WTL3,,,"ATP synthase subunit delta, mitochondrial (Fragment) OS=Homo sapiens GN=ATP5D PE=1 SV=1 ",11
A0A087WTP2,,,Farnesyl pyrophosphate synthase OS=Homo sapiens GN=FDPS PE=1 SV=1 ,2
A0A087WTP3,,,Far upstream element-binding protein 2 OS=Homo sapiens GN=KHSRP PE=1 SV=1 ,15
A0A087WTS6,,,Polypyrimidine tract-binding protein 1 (Fragment) OS=Homo sapiens GN=PTBP1 PE=1 SV=1 ,22
A0A087WTS8,,,Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=1 ,2
A0A087WTT1,,,Polyadenylate-binding protein OS=Homo sapiens GN=PABPC1 PE=1 SV=1 ,8
A0A087WTV6,,,Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens GN=PYCR2 PE=1 SV=1 ,4
A0A087WU68,,,Polypyrimidine tract-binding protein 1 (Fragment) OS=Homo sapiens GN=PTBP1 PE=1 SV=1 ,21
A0A087WU93,,,AP-2 complex subunit beta (Fragment) OS=Homo sapiens GN=AP2B1 PE=1 SV=1 ,2
A0A087WUB9,,,Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1 PE=1 SV=1 ,2
A0A087WUI2,,,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=1 ,59
A0A087WUK2,,,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=1 ,2
A0A087WUM2,,,L-lactate dehydrogenase OS=Homo sapiens GN=LDHAL6A PE=1 SV=1 ,2
A0A087WUS0,,,40S ribosomal protein S24 OS=Homo sapiens GN=RPS24 PE=1 SV=1 ,8
A0A087WUT6,,,Eukaryotic translation initiation factor 5B OS=Homo sapiens GN=EIF5B PE=1 SV=1 ,6
A0A087WUW5,,,Polypyrimidine tract-binding protein 1 (Fragment) OS=Homo sapiens GN=PTBP1 PE=1 SV=4 ,2
A0A087WUZ3,,,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=1 ",4
A0A087WV01,,,Elongation factor 1-alpha OS=Homo sapiens GN=EEF1A1 PE=1 SV=1 ,288
A0A087WV22,,,60S ribosomal protein L10 OS=Homo sapiens GN=RPL10 PE=1 SV=1 ,6
A0A087WV66,,,Antigen KI-67 OS=Homo sapiens GN=MKI67 PE=1 SV=1 ,4
A0A087WVM4,,,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens GN=MTHFD1L PE=1 SV=1 ",2
A0A087WVN4,,,Farnesyl pyrophosphate synthase (Fragment) OS=Homo sapiens GN=FDPS PE=1 SV=1 ,2
A0A087WVQ6,,,Clathrin heavy chain OS=Homo sapiens GN=CLTC PE=1 SV=1 ,27
A0A087WVQ9,,,Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1 ,432
A0A087WVS2,,,Cytosolic non-specific dipeptidase (Fragment) OS=Homo sapiens GN=CNDP2 PE=1 SV=1 ,17
A0A087WVV1,,,Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1 ,5
A0A087WW13,,,Hypoxia up-regulated protein 1 (Fragment) OS=Homo sapiens GN=HYOU1 PE=1 SV=4 ,7
A0A087WW46,,,Nodal modulator 1 OS=Homo sapiens GN=NOMO1 PE=1 SV=1 ,5
A0A087WWE2,,,DNA-directed RNA polymerase OS=Homo sapiens GN=POLR2A PE=1 SV=1 ,2
A0A087WWI4,,,Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1 ,8
A0A087WWT3,,,Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=1 ,7
A0A087WWY3,,,Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=1 ,25
A0A087WX41,,,Clathrin heavy chain 2 OS=Homo sapiens GN=CLTCL1 PE=1 SV=1 ,2
