,go,go_name,name,q
E1JGJ8,,,Peptide chain release factor 2 OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=prfB PE=3 SV=1 ,2
G3XCT6,GO:0005737,cytoplasm,Histidine kinase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA1458 PE=4 SV=1 ,77
G3XCU3,GO:0005829,cytosol,Glycosyltransferase WbpX OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=wbpX PE=4 SV=1 ,2
G3XCU6,,,Transcriptional regulator CysB OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=cysB PE=4 SV=1 ,16
G3XCU7,,,Probable lipase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA2949 PE=4 SV=1 ,6
G3XCU8,,,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA0628 PE=4 SV=1 ,3
G3XCV0,,,Transcriptional regulator FleQ OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=fleQ PE=1 SV=1 ,8
G3XCV4,,,Pyridoxal 5'-phosphate synthase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=phzG1 PE=4 SV=1 ,6
G3XCV5,,,Poly(3-hydroxyalkanoic acid) synthase 1 OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=phaC1 PE=4 SV=1 ,5
G3XCV7,,,Penicillin-binding protein 2 OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=pbpA PE=1 SV=1 ,2
G3XCW3,GO:0005618;GO:0005886,cell wall;plasma membrane,B-band O-antigen polymerase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=wzy PE=4 SV=1 ,6
G3XCW7,,,Probable plasmid partitioning protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA1462 PE=4 SV=1 ,3
G3XCX1,GO:0005623,cell,Respiratory nitrate reductase alpha chain OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=narG PE=4 SV=1 ,21
G3XCX2,,,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA0624 PE=4 SV=1 ,3
G3XCX5,,,Probable bacteriophage protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA0618 PE=4 SV=1 ,4
G3XCY2,GO:0005886,plasma membrane,O-antigen chain length regulator OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=wzz PE=4 SV=1 ,12
G3XCY3,,,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA1463 PE=4 SV=1 ,5
G3XCY8,GO:0030312;GO:0005886,external encapsulating structure;plasma membrane,Probable outer membrane receptor for iron transport OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA4514 PE=3 SV=1 ,2
G3XCZ6,,,Malonyl CoA-acyl carrier protein transacylase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=fabD PE=3 SV=1 ,11
G3XCZ7,GO:0005737,cytoplasm,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA3119 PE=4 SV=1 ,2
G3XD02,GO:0005886,plasma membrane,Membrane protein component of ABC phosphate transporter OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=pstC PE=3 SV=1 ,2
G3XD04,GO:0005737,cytoplasm,DNA helicase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=uvrD PE=4 SV=1 ,3
G3XD11,GO:0030312;GO:0005886,external encapsulating structure;plasma membrane,PhoP/Q and low Mg2+ inducible outer membrane protein H1 OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=oprH PE=4 SV=1 ,85
G3XD12,GO:0005737;GO:0005886,cytoplasm;plasma membrane,Hydrogen cyanide synthase subunit HcnC OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=hcnC PE=1 SV=1 ,6
G3XD14,GO:0005737,cytoplasm,RNA polymerase-binding transcription factor DksA OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=dksA PE=3 SV=1 ,8
G3XD16,GO:0005622,intracellular,Probable two-component response regulator OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA2523 PE=4 SV=1 ,19
G3XD19,GO:0005618;GO:0005886,cell wall;plasma membrane,O-antigen translocase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=wzx PE=4 SV=1 ,17
G3XD20,GO:0005623,cell,Serine protease MucD OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=mucD PE=4 SV=1 ,50
G3XD23,,,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=wbpB PE=1 SV=1 ,12
G3XD24,GO:0005886,plasma membrane,Methyl-accepting chemotaxis protein PctA OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=pctA PE=1 SV=1 ,20
G3XD28,GO:0005623,cell,Type 4 fimbrial biogenesis protein PilM OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=pilM PE=4 SV=1 ,4
G3XD30,GO:0005623,cell,Type 4 fimbrial biogenesis protein PilN OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=pilN PE=4 SV=1 ,4
G3XD31,GO:0005618,cell wall,Penicillin-binding protein 1B OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=mrcB PE=3 SV=1 ,6
G3XD32,,,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA1872 PE=4 SV=1 ,2
G3XD36,,,Phosphoenolpyruvate-protein phosphotransferase PtsP OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=ptsP PE=4 SV=1 ,18
G3XD39,,,Probable bacteriophage protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA0622 PE=4 SV=1 ,38
G3XD40,,,Probable acyl-CoA thiolase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA3925 PE=3 SV=1 ,7
G3XD46,GO:0005886,plasma membrane,Penicillin-binding protein 3 OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=ftsI PE=1 SV=1 ,3
G3XD47,GO:0005615;GO:0005886,extracellular space;plasma membrane,Arginine/ornithine binding protein AotJ OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=aotJ PE=3 SV=1 ,3
G3XD48,,,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA5008 PE=4 SV=1 ,2
G3XD52,GO:0005829;GO:0043234,cytosol;protein complex,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA3302 PE=4 SV=1 ,3
G3XD61,,,"UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=wbpI PE=1 SV=1 ",18
G3XD64,,,Site-determining protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=fleN PE=3 SV=1 ,6
G3XD66,GO:0005622,intracellular,Histidine kinase OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=narX PE=4 SV=1 ,3
