,go,go_name,name,q
C0SP86,GO:0005737;GO:0005737,cytoplasm;cytoplasm,DNA translocase SftA OS=Bacillus subtilis (strain 168) GN=sftA PE=1 SV=1 ,13
C0SP93,GO:0005737;GO:0005737;GO:0005737,cytoplasm;cytoplasm;cytoplasm,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Bacillus subtilis (strain 168) GN=accD PE=1 SV=1 ,34
C0SP94,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0071944;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane;cell periphery;membrane,Putative ABC transporter substrate-binding lipoprotein YhfQ OS=Bacillus subtilis (strain 168) GN=yhfQ PE=1 SV=1 ,15
C0SPA7,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane;membrane,ESX secretion system protein YukB OS=Bacillus subtilis (strain 168) GN=yukB PE=3 SV=1 ,5
C0SPB0,,,Uncharacterized acyl--CoA ligase YtcI OS=Bacillus subtilis (strain 168) GN=ytcI PE=3 SV=1 ,6
C0SPB4,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane,Uncharacterized ABC transporter ATP-binding protein YhaQ OS=Bacillus subtilis (strain 168) GN=yhaQ PE=3 SV=1 ,7
C0SPC1,,,Putative phosphotransferase YtmP OS=Bacillus subtilis (strain 168) GN=ytmP PE=3 SV=1 ,3
O05248,GO:0071944;GO:0016020;GO:0071944;GO:0016020;GO:0016020;GO:0016020,cell periphery;membrane;cell periphery;membrane;membrane;membrane,Putative membrane protease YugP OS=Bacillus subtilis (strain 168) GN=yugP PE=4 SV=1 ,19
O05265,,,Uncharacterized oxidoreductase YulF OS=Bacillus subtilis (strain 168) GN=yulF PE=3 SV=2 ,6
O05268,,,Ferredoxin--NADP reductase 2 OS=Bacillus subtilis (strain 168) GN=yumC PE=1 SV=2 ,9
O05389,,,Uncharacterized oxidoreductase YrbE OS=Bacillus subtilis (strain 168) GN=yrbE PE=3 SV=2 ,21
