,go,go_name,name,q
C0H3V2,GO:0005886;GO:0005737,plasma membrane;cytoplasm,Mannitol-specific phosphotransferase enzyme IIA component OS=Bacillus subtilis (strain 168) GN=mtlF PE=1 SV=1 ,3
C0H405,,,Uncharacterized protein YkzS OS=Bacillus subtilis (strain 168) GN=ykzS PE=4 SV=1 ,2
C0SP85,GO:0005576,extracellular region,Protein YukE OS=Bacillus subtilis (strain 168) GN=yukE PE=1 SV=1 ,43
C0SP86,GO:0005737,cytoplasm,DNA translocase SftA OS=Bacillus subtilis (strain 168) GN=sftA PE=1 SV=1 ,5
C0SP93,GO:0005737,cytoplasm,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Bacillus subtilis (strain 168) GN=accD PE=1 SV=1 ,22
C0SP94,GO:0005886;GO:0005575,plasma membrane;cellular_component,Putative ABC transporter substrate-binding lipoprotein YhfQ OS=Bacillus subtilis (strain 168) GN=yhfQ PE=1 SV=1 ,5
C0SP95,GO:0005886;GO:0005575;GO:0005623,plasma membrane;cellular_component;cell,Copper transport protein YcnJ OS=Bacillus subtilis (strain 168) GN=ycnJ PE=1 SV=1 ,3
C0SPA7,GO:0005886;GO:0005575,plasma membrane;cellular_component,ESX secretion system protein YukB OS=Bacillus subtilis (strain 168) GN=yukB PE=3 SV=1 ,10
C0SPB0,,,Uncharacterized acyl--CoA ligase YtcI OS=Bacillus subtilis (strain 168) GN=ytcI PE=3 SV=1 ,9
C0SPB1,,,Uncharacterized protein YukJ OS=Bacillus subtilis (strain 168) GN=yukJ PE=4 SV=1 ,3
C0SPB4,GO:0005886;GO:0005575,plasma membrane;cellular_component,Uncharacterized ABC transporter ATP-binding protein YhaQ OS=Bacillus subtilis (strain 168) GN=yhaQ PE=3 SV=1 ,5
O05239,,,Probable NADH-dependent butanol dehydrogenase 1 OS=Bacillus subtilis (strain 168) GN=yugJ PE=3 SV=1 ,6
O05240,,,Probable NADH-dependent butanol dehydrogenase 2 OS=Bacillus subtilis (strain 168) GN=yugK PE=3 SV=1 ,2
O05265,,,Uncharacterized oxidoreductase YulF OS=Bacillus subtilis (strain 168) GN=yulF PE=3 SV=2 ,3
O05268,,,Ferredoxin--NADP reductase 2 OS=Bacillus subtilis (strain 168) GN=yumC PE=1 SV=2 ,29
O05389,,,Uncharacterized oxidoreductase YrbE OS=Bacillus subtilis (strain 168) GN=yrbE PE=3 SV=2 ,7
O05392,GO:0005622;GO:0043234,intracellular;protein complex,Holliday junction ATP-dependent DNA helicase RuvA OS=Bacillus subtilis (strain 168) GN=ruvA PE=3 SV=2 ,3
O05394,,,Cystathionine gamma-lyase OS=Bacillus subtilis (strain 168) GN=mccB PE=1 SV=1 ,4
O05411,,,Uncharacterized protein YrpD OS=Bacillus subtilis (strain 168) GN=yrpD PE=4 SV=1 ,3
O05494,,,Uncharacterized HTH-type transcriptional regulator YdhC OS=Bacillus subtilis (strain 168) GN=ydhC PE=4 SV=1 ,2
O05496,GO:0043226;GO:0005622,organelle;intracellular,Uncharacterized UDP-glucosyltransferase YdhE OS=Bacillus subtilis (strain 168) GN=ydhE PE=3 SV=2 ,24
O05508,GO:0005829,cytosol,6-phospho-beta-glucosidase GmuD OS=Bacillus subtilis (strain 168) GN=gmuD PE=1 SV=1 ,6
O05516,GO:0005622;GO:0043234;GO:0005737,intracellular;protein complex;cytoplasm,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB OS=Bacillus subtilis (strain 168) GN=tsaB PE=1 SV=1 ,3
O05519,,,Uncharacterized ABC transporter ATP-binding protein YdiF OS=Bacillus subtilis (strain 168) GN=ydiF PE=3 SV=2 ,7
O05521,GO:0005737,cytoplasm,Redox-sensing transcriptional repressor Rex OS=Bacillus subtilis (strain 168) GN=rex PE=1 SV=1 ,10
O06006,,,Putative cysteine protease YraA OS=Bacillus subtilis (strain 168) GN=yraA PE=2 SV=2 ,19
O06476,,,Uncharacterized ABC transporter ATP-binding protein YfmR OS=Bacillus subtilis (strain 168) GN=yfmR PE=3 SV=1 ,2
O06477,GO:0005575,cellular_component,Putative sensory transducer protein YfmS OS=Bacillus subtilis (strain 168) GN=yfmS PE=2 SV=1 ,8
O06478,,,Putative aldehyde dehydrogenase YfmT OS=Bacillus subtilis (strain 168) GN=yfmT PE=2 SV=1 ,40
O06491,GO:0005622;GO:0043234,intracellular;protein complex,Glutamyl-tRNA(Gln) amidotransferase subunit A OS=Bacillus subtilis (strain 168) GN=gatA PE=3 SV=3 ,109
O06492,,,Glutamyl-tRNA(Gln) amidotransferase subunit C OS=Bacillus subtilis (strain 168) GN=gatC PE=3 SV=3 ,6
O06714,,,Nuclease SbcCD subunit C OS=Bacillus subtilis (strain 168) GN=sbcC PE=3 SV=3 ,4
O06724,,,Uncharacterized protein YisK OS=Bacillus subtilis (strain 168) GN=yisK PE=2 SV=1 ,8
O06747,,,Uncharacterized protein YitL OS=Bacillus subtilis (strain 168) GN=yitL PE=4 SV=2 ,3
O06965,GO:0005886;GO:0005575,plasma membrane;cellular_component,Putative lipoprotein YvcA OS=Bacillus subtilis (strain 168) GN=yvcA PE=2 SV=2 ,3
O06967,GO:0005886;GO:0005575,plasma membrane;cellular_component,Multidrug resistance ABC transporter ATP-binding/permease protein BmrA OS=Bacillus subtilis (strain 168) GN=bmrA PE=1 SV=1 ,2
O06972,,,Uncharacterized Nudix hydrolase YvcI OS=Bacillus subtilis (strain 168) GN=yvcI PE=3 SV=1 ,28
O06973,,,Nucleotide-binding protein YvcJ OS=Bacillus subtilis (strain 168) GN=yvcJ PE=1 SV=1 ,67
O06974,GO:0005737,cytoplasm,Gluconeogenesis factor OS=Bacillus subtilis (strain 168) GN=mgfK PE=3 SV=1 ,9
O06975,,,Putative sporulation transcription regulator WhiA OS=Bacillus subtilis (strain 168) GN=whiA PE=3 SV=1 ,8
O06986,,,LOG family protein YvdD OS=Bacillus subtilis (strain 168) GN=yvdD PE=1 SV=1 ,5
O07015,,,Sigma factor SigB regulation protein RsbQ OS=Bacillus subtilis (strain 168) GN=rsbQ PE=1 SV=1 ,8
O07020,,,Lactate utilization protein A OS=Bacillus subtilis (strain 168) GN=lutA PE=1 SV=1 ,17
O07021,,,Lactate utilization protein B OS=Bacillus subtilis (strain 168) GN=lutB PE=1 SV=2 ,75
O07081,,,Uncharacterized isochorismatase family protein YrdC OS=Bacillus subtilis (strain 168) GN=yrdC PE=3 SV=1 ,10
O07513,,,Protein hit OS=Bacillus subtilis (strain 168) GN=hit PE=1 SV=1 ,13
O07516,GO:0005886;GO:0005575,plasma membrane;cellular_component,Uncharacterized membrane protein YhaH OS=Bacillus subtilis (strain 168) GN=yhaH PE=4 SV=1 ,6
O07521,,,3'-5' exoribonuclease YhaM OS=Bacillus subtilis (strain 168) GN=yhaM PE=1 SV=1 ,23
O07527,GO:0005622;GO:0005575,intracellular;cellular_component,Sensor histidine kinase YhcY OS=Bacillus subtilis (strain 168) GN=yhcY PE=3 SV=1 ,2
O07529,GO:0005829,cytosol,FMN-dependent NADPH-azoreductase OS=Bacillus subtilis (strain 168) GN=azr PE=1 SV=1 ,2
O07532,GO:0005576;GO:0005618,extracellular region;cell wall,Peptidoglycan endopeptidase LytF OS=Bacillus subtilis (strain 168) GN=lytF PE=1 SV=2 ,2
O07542,,,UPF0342 protein YheA OS=Bacillus subtilis (strain 168) GN=yheA PE=1 SV=1 ,9
O07543,GO:0005886;GO:0005575,plasma membrane;cellular_component,UPF0754 membrane protein YheB OS=Bacillus subtilis (strain 168) GN=yheB PE=3 SV=1 ,3
O07566,,,3-oxo-glucose-6-phosphate:glutamate aminotransferase OS=Bacillus subtilis (strain 168) GN=ntdA PE=1 SV=1 ,2
O07573,,,HTH-type transcriptional regulator NsrR OS=Bacillus subtilis (strain 168) GN=nsrR PE=4 SV=1 ,7
O07581,GO:0005575,cellular_component,Probable anti-sigma-M factor YhdL OS=Bacillus subtilis (strain 168) GN=yhdL PE=1 SV=1 ,5
O07585,GO:0005886;GO:0005575,plasma membrane;cellular_component,UPF0053 protein YhdP OS=Bacillus subtilis (strain 168) GN=yhdP PE=3 SV=1 ,3
O07587,GO:0005737,cytoplasm,Putative aspartate aminotransferase YhdR OS=Bacillus subtilis (strain 168) GN=yhdR PE=3 SV=1 ,4
O07595,GO:0005737,cytoplasm,NAD-dependent protein deacetylase OS=Bacillus subtilis (strain 168) GN=cobB PE=3 SV=1 ,2
O07597,,,D-alanine aminotransferase OS=Bacillus subtilis (strain 168) GN=dat PE=3 SV=1 ,4
O07598,,,Putative amidohydrolase YhaA OS=Bacillus subtilis (strain 168) GN=yhaA PE=3 SV=3 ,2
O07603,,,Putative aminopeptidase YhfE OS=Bacillus subtilis (strain 168) GN=yhfE PE=3 SV=1 ,21
O07607,,,Probable metallo-hydrolase YhfI OS=Bacillus subtilis (strain 168) GN=yhfI PE=3 SV=1 ,5
O07608,GO:0005737,cytoplasm,Lipoate-protein ligase LplJ OS=Bacillus subtilis (strain 168) GN=lplJ PE=1 SV=1 ,65
O07609,GO:0005622,intracellular,Uncharacterized sugar epimerase YhfK OS=Bacillus subtilis (strain 168) GN=yhfK PE=2 SV=1 ,32
O07617,,,Uncharacterized phosphatase PhoE OS=Bacillus subtilis (strain 168) GN=phoE PE=3 SV=1 ,7
O07624,,,Uncharacterized beta-barrel protein YwiB OS=Bacillus subtilis (strain 168) GN=ywiB PE=1 SV=1 ,3
O07631,,,GTP-binding protein TypA/BipA homolog OS=Bacillus subtilis (strain 168) GN=typA PE=3 SV=1 ,76
O08336,GO:0005737,cytoplasm,Bifunctional cytochrome P450/NADPH--P450 reductase 2 OS=Bacillus subtilis (strain 168) GN=cypB PE=1 SV=1 ,4
O30509,,,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B OS=Bacillus subtilis (strain 168) GN=gatB PE=1 SV=2 ,28
O30601,GO:0005829,cytosol,SPBc2 prophage-derived ribonucleoside-diphosphate reductase subunit beta OS=Bacillus subtilis (strain 168) GN=yosP PE=3 SV=1 ,5
O31404,,,"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha OS=Bacillus subtilis (strain 168) GN=acoA PE=2 SV=2 ",15
O31418,GO:0005737,cytoplasm,Mini-ribonuclease 3 OS=Bacillus subtilis (strain 168) GN=mrnC PE=1 SV=1 ,2
O31422,GO:0005576,extracellular region,Sporulation killing factor OS=Bacillus subtilis (strain 168) GN=skfA PE=1 SV=1 ,2
O31454,,,Uncharacterized protein YbfN OS=Bacillus subtilis (strain 168) GN=ybfN PE=4 SV=1 ,2
O31455,,,Putative hydrolase YbfO OS=Bacillus subtilis (strain 168) GN=ybfO PE=3 SV=1 ,3
O31479,GO:0005575,cellular_component,Uncharacterized protein YczF OS=Bacillus subtilis (strain 168) GN=yczF PE=3 SV=1 ,7
O31489,,,Uncharacterized protein YdcI OS=Bacillus subtilis (strain 168) GN=ydcI PE=4 SV=2 ,3
O31502,,,Diacylglycerol kinase OS=Bacillus subtilis (strain 168) GN=dagK PE=1 SV=1 ,3
O31506,,,Putative ribonuclease YeeF OS=Bacillus subtilis (strain 168) GN=yeeF PE=1 SV=2 ,2
O31509,GO:0005737;GO:0005829,cytoplasm;cytosol,Probable transcriptional regulatory protein YeeI OS=Bacillus subtilis (strain 168) GN=yeeI PE=3 SV=3 ,14
O31546,,,Probable tRNA-dihydrouridine synthase 2 OS=Bacillus subtilis (strain 168) GN=dus2 PE=3 SV=1 ,3
O31550,,,Dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system OS=Bacillus subtilis (strain 168) GN=acoC PE=3 SV=1 ,32
O31567,GO:0005886;GO:0005575;GO:0005737,plasma membrane;cellular_component;cytoplasm,Probable siderophore-binding lipoprotein YfiY OS=Bacillus subtilis (strain 168) GN=yfiY PE=1 SV=1 ,30
O31570,,,Uncharacterized isomerase YfhB OS=Bacillus subtilis (strain 168) GN=yfhB PE=3 SV=1 ,6
O31571,,,Putative NAD(P)H nitroreductase YfhC OS=Bacillus subtilis (strain 168) GN=yfhC PE=3 SV=1 ,31
O31581,,,AB hydrolase superfamily protein YfhM OS=Bacillus subtilis (strain 168) GN=yfhM PE=3 SV=1 ,2
O31589,,,Uncharacterized protein YhbB OS=Bacillus subtilis (strain 168) GN=yhbB PE=4 SV=3 ,2
O31590,GO:0005737,cytoplasm,Putative tRNA (cytidine(34)-2'-O)-methyltransferase OS=Bacillus subtilis (strain 168) GN=cspR PE=3 SV=2 ,37
O31605,GO:0005829,cytosol,Oligoendopeptidase F homolog OS=Bacillus subtilis (strain 168) GN=yjbG PE=3 SV=2 ,22
O31611,GO:0005618;GO:0005886,cell wall;plasma membrane,GTP pyrophosphokinase YjbM OS=Bacillus subtilis (strain 168) GN=yjbM PE=1 SV=1 ,4
O31612,GO:0005737,cytoplasm,NAD kinase 1 OS=Bacillus subtilis (strain 168) GN=ppnKA PE=1 SV=1 ,9
O31614,GO:0005623,cell,Bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical] OS=Bacillus subtilis (strain 168) GN=prpE PE=1 SV=1 ,5
O31629,,,Putative phosphoesterase YjcG OS=Bacillus subtilis (strain 168) GN=yjcG PE=1 SV=1 ,23
O31630,,,Uncharacterized protein YjcH OS=Bacillus subtilis (strain 168) GN=yjcH PE=4 SV=1 ,26
O31638,GO:0005886;GO:0005575,plasma membrane;cellular_component,Uncharacterized protein YjcP OS=Bacillus subtilis (strain 168) GN=yjcP PE=4 SV=1 ,4
