,gn,gn1,human_mouse,lca,name
202956,,,False,716546,gi|115398299|ref|XP_001214741.1| NADP-specific glutamate dehydrogenase [Aspergillus terreus NIH2624]
209005,,,False,2759,gi|573989463|ref|XP_006672652.1| histone H4.1 [Cordyceps militaris CM01]
217964,,,False,684364,gi|575484636|ref|XP_006681612.1| hypothetical protein BATDEDRAFT_17631 [Batrachochytrium dendrobatidis JAM81]
248190,,,False,1263415,gi|629651787|ref|XP_007802590.1| hypothetical protein EPUS_01794 [Endocarpon pusillum Z07020]
251275,,,False,2759,gi|629657957|ref|XP_007804075.1| hypothetical protein EPUS_06354 [Endocarpon pusillum Z07020]
265827,,,False,619300,gi|598072959|ref|XP_007377308.1| 3-phosphoglycerate kinase [Spathaspora passalidarum NRRL Y-27907]
268176,ATP5B,ATP5B,False,33154,"gi|171690264|ref|XP_001910057.1| hypothetical protein, partial [Podospora anserina S mat+]"
297515,,,False,155619,gi|599394398|ref|XP_007399693.1| hypothetical protein PHACADRAFT_127903 [Phanerochaete carnosa HHB-10118-sp]
301710,,,False,5204,gi|628825023|ref|XP_007762815.1| P-loop containing nucleoside triphosphate hydrolase protein [Coniophora puteana RWD-64-598 SS2]
302579,,,False,2759,gi|630191810|ref|XP_007848797.1| calmodulin [Moniliophthora roreri MCA 2997]
318873,,,False,741275,gi|599107535|ref|XP_007383258.1| NADP-specific glutamate dehydrogenase [Punctularia strigosozonata HHB-11173 SS5]
372822,,,False,4893,gi|365984273|ref|XP_003668969.1| hypothetical protein NDAI_0C00650 [Naumovozyma dairenensis CBS 421]
374028,,,False,4892,gi|50423973|ref|XP_460571.1| DEHA2F04796p [Debaryomyces hansenii CBS767]
375344,,,False,4892,gi|366994624|ref|XP_003677076.1| hypothetical protein NCAS_0F02370 [Naumovozyma castellii CBS 4309]
382738,,,False,332648,gi|154312262|ref|XP_001555459.1| heat shock 70 kDa protein 2 [Botrytis cinerea B05.10]
395065,,,False,559292,gi|6320255|ref|NP_010335.1| triose-phosphate isomerase TPI1 [Saccharomyces cerevisiae S288c]
397898,,,False,559292,gi|6320181|ref|NP_010262.1| glycerol-3-phosphate dehydrogenase (NAD(+)) GPD1 [Saccharomyces cerevisiae S288c]
407882,"EEF1A1P5,EEF1A1,Eef1a2,Eef1a1,EEF1A2",,False,131567,gi|146322501|ref|XP_750388.2| translation elongation factor EF-1 alpha subunit [Aspergillus fumigatus Af293]
411676,,,False,716546,gi|71001294|ref|XP_755328.1| mitochondrial Hsp70 chaperone (Ssc70) [Aspergillus fumigatus Af293]
566971,,,False,4892,gi|210075987|ref|XP_505195.2| YALI0F09185p [Yarrowia lipolytica]
640706,,,False,559292,gi|6324486|ref|NP_014555.1| alcohol dehydrogenase ADH1 [Saccharomyces cerevisiae S288c]
642086,,,False,4892,gi|254581302|ref|XP_002496636.1| ZYRO0D04686p [Zygosaccharomyces rouxii]
645785,,,False,294747,"gi|255730295|ref|XP_002550072.1| elongation factor Tu, mitochondrial precursor [Candida tropicalis MYA-3404]"
651398,,,False,4893,gi|45185554|ref|NP_983270.1| ACL134Cp [Ashbya gossypii ATCC 10895]
655453,,,False,284593,gi|50290317|ref|XP_447590.1| hypothetical protein [Candida glabrata CBS 138]
670786,,,False,5052,gi|238484929|ref|XP_002373703.1| pyruvate kinase [Aspergillus flavus NRRL3357]
679801,,,False,4893,gi|50309339|ref|XP_454677.1| 40S ribosomal protein S0 [Kluyveromyces lactis NRRL Y-1140]
723996,,,False,515849,gi|171690210|ref|XP_001910030.1| hypothetical protein [Podospora anserina S mat+]
733216,,,False,4893,gi|254582951|ref|XP_002499207.1| ZYRO0E06556p [Zygosaccharomyces rouxii]
734086,,,False,656061,gi|296411194|ref|XP_002835319.1| hypothetical protein [Tuber melanosporum Mel28]
757818,,,False,4892,gi|146414888|ref|XP_001483414.1| hypothetical protein PGUG_04143 [Meyerozyma guilliermondii ATCC 6260]
796789,,,False,670483,gi|630354063|ref|XP_007866332.1| heat shock protein 70 [Gloeophyllum trabeum ATCC 11539]
811098,"Gm3839,Gapdh,GAPDH",,True,314146,sp|P16858|G3P_MOUSE Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus GN=Gapdh PE=1 SV=2
813416,"ARF1,Arf2,Arf5,Arf3,ARF5,ARF3,Arf1",,False,2759,gi|219111535|ref|XP_002177519.1| predicted protein [Phaeodactylum tricornutum CCAP 1055/1]
871564,,,False,766764,gi|598064017|ref|XP_007372837.1| pyruvate decarboxylase [Spathaspora passalidarum NRRL Y-27907]
900503,"ACTA1,Actbl2,ACTG2,Actg2,Actg1,ACTG1,Actb,ACTB,ACTC1,Actc1,Acta1,ACTA2,Acta2",,False,131567,gi|317149961|ref|XP_003190376.1| actin [Aspergillus oryzae RIB40]
944577,"HSPA7,HSPA8",,True,9606,sp|P11142-2|HSP7C_HUMAN Isoform 2 of Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8
948149,,,False,771870,gi|336265826|ref|XP_003347683.1| hypothetical protein SMAC_03781 [Sordaria macrospora k-hell]
963113,,,False,4893,gi|50291535|ref|XP_448200.1| 40S ribosomal protein S3 [Candida glabrata CBS 138]
965206,,,False,2759,"gi|66358980|ref|XP_626668.1| ARF1/2 like small GTpase, partial [Cryptosporidium parvum Iowa II]"
969630,,,False,278028,gi|365987245|ref|XP_003670454.1| hypothetical protein NDAI_0E03940 [Naumovozyma dairenensis CBS 421]
996140,,,False,284811,gi|45184967|ref|NP_982685.1| AAR143Wp [Ashbya gossypii ATCC 10895]
998638,,,False,4892,gi|366992622|ref|XP_003676076.1| hypothetical protein NCAS_0D01320 [Naumovozyma castellii CBS 4309]
1023145,,,False,451864,gi|396500080|ref|XP_003845636.1| hypothetical protein LEMA_P009440.1 [Leptosphaeria maculans JN3]
1023303,"Tubb4a,TUBB2A,Tubb2b,Tubb4b,Tubb2a,Tubb5,TUBB8,TUBB,TUBB4A,TUBB4B,TUBB6,TUBB2B",,False,2759,gi|396462886|ref|XP_003836054.1| hypothetical protein LEMA_P053950.1 [Leptosphaeria maculans JN3]
1027404,,,False,147545,gi|145238652|ref|XP_001391973.1| pyruvate kinase [Aspergillus niger CBS 513.88]
1053863,,,False,4892,gi|302308037|ref|NP_984823.2| AEL038Cp [Ashbya gossypii ATCC 10895]
1110855,,,False,4895,gi|19114371|ref|NP_593459.1| mitochondrial heat shock protein Hsp70 [Schizosaccharomyces pombe 972h-]
1114056,,,False,559292,gi|6319546|ref|NP_009628.1| Hsp26p [Saccharomyces cerevisiae S288c]
1139155,,,False,559292,gi|330443397|ref|NP_009453.2| F1F0 ATP synthase subunit alpha [Saccharomyces cerevisiae S288c]
1158404,,,False,2759,"gi|597931898|ref|XP_007320293.1| hypothetical protein SERLADRAFT_471727, partial [Serpula lacrymans var. lacrymans S7.9]"
1183856,,,False,4952,gi|50548091|ref|XP_501515.1| YALI0C06369p [Yarrowia lipolytica]
1279038,,,False,4751,gi|615468991|ref|XP_007600408.1| translation elongation factor aEF-2 [Colletotrichum fioriniae PJ7]
1385693,,,False,451864,gi|628834369|ref|XP_007767488.1| actin actin-like protein [Coniophora puteana RWD-64-598 SS2]
1408901,,,False,33090,gi|115278596|ref|YP_762500.1| ATPase subunit 1 [Tripsacum dactyloides]
1438473,,,False,79200,gi|386799237|ref|YP_006291808.1| atp1 gene product (mitochondrion) [Daucus carota subsp. sativus]
1485668,adhe,adhe,False,1488,gi|15004739|ref|NP_149199.1| bifunctional acetaldehyde-CoA/alcohol dehydrogenase [Clostridium acetobutylicum ATCC 824]
1654966,,,False,1050716,gi|516976855|ref|WP_018194169.1| MULTISPECIES: hypothetical protein [candidate division YNPFFA]
1739951,Ilyop_2528,Ilyop_2528,False,167642,tr|E3HBW1|E3HBW1_ILYPC L-glutamine synthetase OS=Ilyobacter polytropus (strain DSM 2926 / CuHBu1) GN=Ilyop_2528 PE=3 SV=1
1801653,,,False,280699,gi|544209669|ref|XP_005535237.1| S-adenosyl-L-homocysteine hydrolase [Cyanidioschyzon merolae strain 10D]
1803867,,,False,2759,gi|301122113|ref|XP_002908783.1| beta-tubulin [Phytophthora infestans T30-4]
1804563,,,False,130081,gi|545710651|ref|XP_005707633.1| molecular chaperone DnaK [Galdieria sulphuraria]
