"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gn","gn1","human_mouse","lca","name"
"7011122",83.7760835022723,-9.86495862839015,3.73255575710893,-2.64295010452331,0.00821871456987903,0.0875591472791089,"BN757_00560,BN498_01048","","False",2,"gi|546473749|ref|WP_021869170.1| putative glycolate oxidase subunit GlcD [Clostridium sp. CAG:7]"
"9261770",103.101277001716,-9.96866749633493,3.7230390685071,-2.67756188235013,0.00741601519037659,0.0875591472791089,"","","False",2,"gi|515173081|ref|WP_016801158.1| translation elongation factor Tu, partial [Acinetobacter radioresistens]"
"10339168",259.430022401285,-11.2922496983199,3.74101237584834,-3.01850102694706,0.00254028540783147,0.0875591472791089,"","","False",2,"gi|493858918|ref|WP_006805746.1| elongation factor Tu [Leptotrichia hofstadii]"
"15010122",256.296625368008,-8.96482199364162,3.23888485265695,-2.76787301848274,0.00564234349241834,0.0875591472791089,"groEL,hspD1,SSU05_0148,groL","","False",91061,"gi|516916977|ref|WP_018164654.1| molecular chaperone GroEL [Streptococcus henryi]"
"17549174",148.414126380718,-10.5055780516802,3.72349541401815,-2.82142902932791,0.00478102150152208,0.0875591472791089,"eno1,eno2,V193_03040,enoB,enoA,eno","","False",1,"gi|497540353|ref|WP_009854551.1| enolase [Streptococcus gallolyticus]"
"20194706",83.6744437395964,-9.90908121003085,3.734474376346,-2.65340720311125,0.00796836774160123,0.0875591472791089,"BN488_02038,cotCB,cotJC1","","False",186802,"gi|489513220|ref|WP_003418062.1| CotJC [Peptoclostridium difficile]"
"20217211",210.930111964216,-11.1000835453967,3.7339319853571,-2.97275997230977,0.00295135153040053,0.0875591472791089,"sspB,BN488_01596","","False",186802,"gi|545033327|ref|WP_021412770.1| small, acid-soluble spore beta domain protein, partial [Peptoclostridium difficile]"
"20223286",160.410010182029,-10.6373212324847,3.72501251280608,-2.85564711418152,0.00429492202307148,0.0875591472791089,"","","False",1481960,"gi|545044963|ref|WP_021419539.1| elongation factor Tu GTP binding domain protein [Peptoclostridium difficile]"
"20472240",134.47516174163,-10.3349357392145,3.72219293238424,-2.77657174868538,0.00549355086224352,0.0875591472791089,"BLAC_05455,W91_1109,pfl,BLONG_0744,BLC1_1038,BLJ_0779,pflB,BLNIAS_01786,B12L_0726,BN755_01556,BANAN_05325,B2258_0758,BAST_0673,BLIJ_1775,BIL_11800,BLLJ_0668,D805_0768,Bl12_1007,B689b_0819,BLIF_0696,B7019_0770,pflD,B7017_0761,Balac_1083,BalV_1043,W7Y_1084,Balat_1083","","False",31953,"gi|504510803|ref|WP_014697905.1| formate acetyltransferase [Bifidobacterium animalis]"
"20625233",222.479006996909,-10.9518813590131,3.73447129576575,-2.93264574598033,0.00336087134548701,0.0875591472791089,"BBIF_0798,B12L_0715,BN549_01295,BAD_0687,BalV_0936,BLA_1483,BIL_11880,BALAC2494_00515,BLIF_0688,Balac_0971,BLAC_04910,W91_0994,BAST_0919,BLNIAS_01797,BN474_00073,xfp,BL0959,B7017_0749,BBPR_0768,B689b_0808,BLIJ_1783,BS27_0786,D805_0899,Bbr_0776,BANAN_04800,W7Y_0972,B7019_0759,Bl12_0907,BDP_1006,BLONG_0736,BLC1_0929,BLLJ_0660,BN571_01361,BLJ_0768,BN755_01547,B2258_0747,BIF_00105","","False",31953,"gi|545409722|ref|WP_021648940.1| D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase [Bifidobacterium breve]"
